"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,CHAK MIANA,138030407,-,-,,0,431,431,,,
"",,CHAK MIANA,138030408,-,-,,0,71,71,,,
112 Total,,,,-,-,-,0,1137,1137,0,2,2
166,"GOVERNMENT BOYS HIGH SCHOOLNASEER PUR KALAN (P)",NASEER PUR KALAN,138030501,-,-,,257,163,420,2,1,3
"",,NASEER PUR KALAN,138030502,-,-,,225,152,377,,,
"",,NASEER PUR KALAN,138030503,-,-,,385,255,640,,,
113 Total,,,,-,-,-,867,570,1437,2,1,3
167,"GOVERNMENT GIRLS MIDDLE SCHOLNASEER PUR KALAN (P)",NASEER PUR KALAN,138030504,-,-,,942,780,1722,2,2,4
114 Total,,,,-,-,-,942,780,1722,2,2,4
168,"GOVERNMENT GIRLS MIDDLE SCHOOLNASEER PUR KALAN (P)",NASEER PUR KALAN,138030505,-,-,,364,243,607,2,1,3
"",,NASEER PUR KALAN,138030506,-,-,,391,282,673,,,
115 Total,,,,-,-,-,755,525,1280,2,1,3
169,"GOVERNMENT BOYS HIGH SCHOOLNASEER PUR KALAN (P)",NASEER PUR KALAN,138030507,-,-,,476,355,831,2,1,3
"",,NASEER PUR KALAN,138030508,-,-,,230,119,349,,,
"",,NASEER PUR KALAN,138030509,-,-,,238,175,413,,,
116 Total,,,,-,-,-,944,649,1593,2,1,3
170,"GOVERNMENT GIRLS PRIMARYSCHOOL GHARI KALA (T)",GARHI KALA,138030601,-,-,,462,315,777,2,1,3
"",,GARHI KALA,138030602,-,-,,295,188,483,,,
117 Total,,,,-,-,-,757,503,1260,2,1,3
171,"GORNMENT BOYS PRIMARY SCHOOLGHARI KALA (T)",GARHI KALA,138030603,-,-,,158,136,294,1,1,2
"",,GARHI KALA,138030604,-,-,,395,239,634,,,
118 Total,,,,-,-,-,553,375,928,1,1,2
172,"GOVERNMENT GIRLS PRIMARYSCHOOL KHUAMB NAU, (T)",KHAMB NAU,138030605,-,-,,574,363,937,2,2,4
"",,KHAMB NAU,138030606,-,-,,550,433,983,,,
119 Total,,,,-,-,-,1124,796,1920,2,2,4
KHUMB KOHNA,138030701,-,-,,173,92,265,,,,,
KHUMB KOHNA,138030702,-,-,,428,404,832,,,,,
120 Total,,,,-,-,-,827,642,1469,2,1,3
174,"GOVERNMENT BOYS PRIMARYSCHOOL BADEEN, (T)",BADIN,138030705,-,-,,297,259,556,2,1,3
"",,BADIN,138030706,-,-,,427,350,777,,,
121 Total,,,,-,-,-,724,609,1333,2,1,3
175,"GOVERNMENT GIRLS PRIMARYSCHOOL PEOPLES COLONY, MIDH",MIDH RANJHA,138030801,-,-,,863,818,1681,2,2,4
"",,MIDH RANJHA,138030802,-,-,,206,72,278,,,
122 Total,,,,-,-,-,1069,890,1959,2,2,4
176,"GOVERNMENT GIRLS HIGHERSECONDARY SCHOOL MIDH RANJHA(P)",MIDH RANJHA,138030803,-,-,,230,178,408,2,2,4
"",,MIDH RANJHA,138030804,-,-,,388,337,725,,,
"",,MIDH RANJHA,138030805,-,-,,418,352,770,,,
123 Total,,,,-,-,-,1036,867,1903,2,2,4
177,"GOVERNMENT BOYS HIGHERSECONDARY SCHOOL MIDH RANJHA(P)",MIDH RANJHA,138030806,-,-,,222,0,222,3,0,3
"",,MIDH RANJHA,138030807,-,-,,278,0,278,,,
"",,MIDH RANJHA,138030808,-,-,,349,0,349,,,
"",,MIDH RANJHA,138030809,-,-,,487,0,487,,,
124 Total,,,,-,-,-,1336,0,1336,3,0,3
178,"(209) GOVERNMENT BOYS HIGHERSECONDARY SCHOOL MIDH RANJHA(P)",MIDH RANJHA,138030806,-,-,,0,166,166,0,2,2
"",,MIDH RANJHA,138030807,-,-,,0,246,246,,,
"",,MIDH RANJHA,138030808,-,-,,0,226,226,,,
"",,MIDH RANJHA,138030809,-,-,,0,377,377,,,
125 Total,,,,-,-,-,0,1015,1015,0,2,2
179,"GOVERNMENT GIRLS PRIMARYSCHOOL MAHI WALL (T)",MAHIWAL,138030810,-,-,,325,217,542,2,2,4
"",,THATHA BAIRAN,138030811,-,-,,272,179,451,,,
"",,FATU WALA,138030812,-,-,,341,276,617,,,
126 Total,,,,-,-,-,938,672,1610,2,2,4
180,"GOVERNMENT MODEL PRIMARYSCHOOL MOHRI WAL (T)",NAWAN KOT,138030901,-,-,,128,88,216,2,1,3
"",,MOHRI WAL,138030902,-,-,,381,285,666,,,
"",,DOLEWALA,138030903,-,-,,190,114,304,,,
127 Total,,,,-,-,-,699,487,1186,2,1,3
181,"GOVERNMENT BOYS PRIMARYSCHOOL GHAI WAL (T)",GHAIWAL,138031001,-,-,,52,38,90,1,1,2
"",,MADAN,138031002,-,-,,28,13,41,,,
"",,SIKDAY,138031005,-,-,,68,38,106,,,
"",,DEODHI,138031006,-,-,,28,4,32,,,
"",,AIDAL PUR,138031007,-,-,,27,10,37,,,
"",,BURJ BARAN,138031008,-,-,,59,39,98,,,
128 Total,,,,-,-,-,262,142,404,1,1,2
182,"GOVERNMENT BOYS ELEMENTARYSCHOOL RAM DIANA (T)",DHUDYAN,138030704,-,-,,130,110,240,2,1,3
"",,RAMDIANA,138031101,-,-,,691,524,1215,,,
129 Total,,,,-,-,-,821,634,1455,2,1,3
183,"GOVERNMENT MODEL PRIMARYSCHOOL CHAK SULEEMAN (T)",RAJA DAHIR,138031003,-,-,,51,34,85,1,1,2
"",,TARDIANWALA,138031004,-,-,,110,67,177,,,
"",,CHAK SULEMAN,138031102,-,-,,414,372,786,,,
130 Total,,,,-,-,-,575,473,1048,1,1,2
217,"MODEL SCHOOL DERA DHANEYKA(MALE) (T)",KOT MOMIN M.C.,138050103,-,-,,513,0,513,3,0,3
"",,KOT MOMIN M.C.,138050104,-,-,,268,0,268,,,
"",,KOT MOMIN M.C.,138050108,-,-,,311,0,311,,,
131 Total,,,,-,-,-,1376,0,1376,3,0,3
218,"GOVERNMENT GIRLS COMMUNITYMODEL SCHOOL DERA DHANEYKA(FEMALE) (T)",KOT MOMIN M.C.,138050102,-,-,,0,212,212,0,2,2
"",,KOT MOMIN M.C.,138050103,-,-,,0,388,388,,,
"",,KOT MOMIN M.C.,138050104,-,-,,0,213,213,,,
"",,KOT MOMIN M.C.,138050108,-,-,,0,227,227,,,
132 Total,,,,-,-,-,0,1040,1040,0,2,2
219,"ASSISTANT EDUCATION OFFICE, KOTMOMIN  ( MALE ) (P)",KOT MOMIN M.C.,138050101,-,-,,270,0,270,3,0,3
"",,KOT MOMIN M.C.,138050105,-,-,,253,0,253,,,
"",,KOT MOMIN M.C.,138050106,-,-,,323,0,323,,,
"",,KOT MOMIN M.C.,138050107,-,-,,454,0,454,,,
133 Total,,,,-,-,-,1300,0,1300,3,0,3
220,"ASSISTANT EDUCATION OFFICE, KOTMOMIN  ( FEMALE ) (P)",KOT MOMIN M.C.,138050101,-,-,,0,218,218,0,2,2
"",,KOT MOMIN M.C.,138050105,-,-,,0,169,169,,,
"",,KOT MOMIN M.C.,138050106,-,-,,0,274,274,,,
"",,KOT MOMIN M.C.,138050107,-,-,,0,325,325,,,
134 Total,,,,-,-,-,0,986,986,0,2,2
221,"GOVERNMENT BOYS HIGH  SCHOOL,KOT MOMIN (T)",KOT MOMIN M.C.,138050201,-,-,,632,482,1114,1,1,2
135 Total,,,,-,-,-,632,482,1114,1,1,2
222,"GOVERNMENT GIRLS HIGH  SCHOOLKOT MOMIN ( MALE ) (P)",KOT MOMIN M.C.,138050202,-,-,,543,0,543,2,0,2
"",,KOT MOMIN M.C.,138050203,-,-,,409,0,409,,,
136 Total,,,,-,-,-,952,0,952,2,0,2
223,"GOVERNMENT GIRLS HIGHERSECONDARY SCHOOL KOT MOMIN",KOT MOMIN M.C.,138050202,-,-,,0,431,431,0,2,2
"",,KOT MOMIN M.C.,138050203,-,-,,0,344,344,,,
137 Total,,,,-,-,-,0,775,775,0,2,2
224,"GOVERNMENT GIRLS HIGHERSECONDARY SCHOOL KOT MOMIN (P)",KOT MOMIN M.C.,138050204,-,-,,648,572,1220,1,1,2
138 Total,,,,-,-,-,648,572,1220,1,1,2
225,"GOVERNMENT GIRLS HIGH SCHOOLKOT MOMIN (P)",KOT MOMIN M.C.,138050407,-,-,,529,481,1010,1,1,2
139 Total,,,,-,-,-,529,481,1010,1,1,2
226,"GOVERNMENT BOYS PRIMARYSCHOOL ISLAMIA, KOT MOMIN(T)",K  O T MOMIN M.C.,138050205,-,-,,385,319,704,1,1,2
227,"GOVERNMENT BOYS PRIMARYSCHOOL ISLAMIA, KOT MOMIN(T)",K  O T MOMIN M.C.,138050404,-,-,,394,346,740,1,1,2
141 Total,,,,-,-,-,394,346,740,1,1,2
228,"GOVERNMENT BOYS ELEMENTARYSCHOOL, KOT MOMIN                       (",KOT MOMIN M.C.,138050301,-,-,,526,0,526,2,0,2
"",,KOT MOMIN M.C.,138050302,-,-,,446,0,446,,,
142 Total,,,,-,-,-,972,0,972,2,0,2
229,"GOVERNMENT BOYS ELEMENTARYSCHOOL, KOT MOMIN                       (",KOT MOMIN M.C.,138050301,-,-,,0,434,434,0,2,2
"",,KOT MOMIN M.C.,138050302,-,-,,0,378,378,,,
143 Total,,,,-,-,-,0,812,812,0,2,2
230,"GOVERNMENT BOYS PRIMARYSCHOOL FAIZABAD KOT MOMIN( MALE) (T)",KOT MOMIN M.C.,138050303,-,-,,330,0,330,3,0,3
"",,KOT MOMIN M.C.,138050304,-,-,,771,0,771,,,
"",,KOT MOMIN M.C.,138050305,-,-,,294,0,294,,,
"",,KOT MOMIN M.C.,138050306,-,-,,217,0,217,,,
144 Total,,,,-,-,-,1612,0,1612,3,0,3
231,T.M.O. OFFICE KOT MOMIN (T),KOT MOMIN M.C.,138050303,-,-,,0,284,284,0,3,3
"",,KOT MOMIN M.C.,138050304,-,-,,0,570,570,,,
"",,KOT MOMIN M.C.,138050305,-,-,,0,224,224,,,
"",,KOT MOMIN M.C.,138050306,-,-,,0,131,131,,,
145 Total,,,,-,-,-,0,1209,1209,0,3,3
232,"VATERNERY HOSPITAL, KOT MOMIN (MALE ) (T)",KOT MOMIN M.C.,138050401,-,-,,570,0,570,3,0,3
"",,KOT MOMIN M.C.,138050402,-,-,,310,0,310,,,
"",,KOT MOMIN M.C.,138050403,-,-,,729,0,729,,,
146 Total,,,,-,-,-,1609,0,1609,3,0,3
233,"VATERNERY HOSPITAL, KOT MOMIN (FEMALE ) (T)",KOT MOMIN M.C.,138050401,-,-,,0,454,454,0,3,3
"",,KOT MOMIN M.C.,138050402,-,-,,0,289,289,,,
"",,KOT MOMIN M.C.,138050403,-,-,,0,629,629,,,
147 Total,,,,-,-,-,0,1372,1372,0,3,3
234,"GOVERNMENT BOYS HIGHSECONDARY SCHOOL KOT MOMIN (P)",KOT MOMIN M.C.,138050405,-,-,,658,0,658,4,0,4
"",,KOT MOMIN M.C.,138050406,-,-,,247,0,247,,,
"",,KOT MOMIN M.C.,138050408,-,-,,721,0,721,,,
"",,KOT MOMIN M.C.,138050409,-,-,,365,0,365,,,
148 Total,,,,-,-,-,1991,0,1991,4,0,4
235,"GOVERNMENTBOYS HIGHSECONDARY SCHOOL KOT MOMIN (P)",KOT MOMIN M.C.,138050405,-,-,,0,829,829,0,4,4
"",,KOT MOMIN M.C.,138050406,-,-,,0,133,133,,,
"",,KOT MOMIN M.C.,138050408,-,-,,0,497,497,,,
"",,KOT MOMIN M.C.,138050409,-,-,,0,322,322,,,
149 Total,,,,-,-,-,0,1781,1781,0,4,4
236,"GOVERNMENT GIRLS HIGH SCHOOLKOT MOMIN (MALE) (P)",KOT MOMIN M.C.,138050501,-,-,,364,0,364,3,0,3
"",,KOT MOMIN M.C.,138050502,-,-,,731,0,731,,,
"",,KOT MOMIN M.C.,138050503,-,-,,372,0,372,,,
150 Total,,,,-,-,-,1467,0,1467,3,0,3
237,KOT MOMIN (FEMALE) (P),KOT MOMIN M.C.,138050502,-,-,,0,564,564,0,2,2
"",,KOT MOMIN M.C.,138050503,-,-,,0,314,314,,,
151 Total,,,,-,-,-,0,1132,1132,0,2,2
238,"GOVERNMENT BOYS PRIMARYSCHOOL NO.3 KOT MOMIN (MALE) (T)",KOT MOMIN M.C.,138050504,-,-,,305,0,305,3,0,3
"",,KOT MOMIN M.C.,138050505,-,-,,206,0,206,,,
"",,KOT MOMIN M.C.,138050506,-,-,,720,0,720,,,
"",,KOT MOMIN M.C.,138050507,-,-,,381,0,381,,,
152 Total,,,,-,-,-,1612,0,1612,3,0,3
239,"GOVERNMENT BOYS PRIMARYSCHOOL NO.3 KOT MOMIN (FEMALE)(T)",KOT MOMIN M.C.,138050504,-,-,,0,229,229,0,3,3
"",,KOT MOMIN M.C.,138050505,-,-,,0,189,189,,,
"",,KOT MOMIN M.C.,138050506,-,-,,0,581,581,,,
"",,KOT MOMIN M.C.,138050507,-,-,,0,300,300,,,
153 Total,,,,-,-,-,0,1299,1299,0,3,3
240,"RURAL HELATH CENTERE, LILLIANI,KOT MOMIN              ( MALE )  (T)",LILIANI T.C.,138060101,-,-,,450,0,450,2,0,2
"",,LILIANI T.C.,138060102,-,-,,360,0,360,,,
"",,LILIANI T.C.,138060103,-,-,,349,0,349,,,
154 Total,,,,-,-,-,1159,0,1159,2,0,2
241,"RURAL HELATH CENTERE, LILLIANI,KOT MOMIN              ( FEMALE ) (T)",LILIANI T.C.,138060101,-,-,,0,331,331,0,2,2
"",,LILIANI T.C.,138060102,-,-,,0,249,249,,,
"",,LILIANI T.C.,138060103,-,-,,0,225,225,,,
155 Total,,,,-,-,-,0,805,805,0,2,2
242,"GOVERNMENT GIRLS HIGHERSECONDARY SCHOOL, LILLIANI,   KOTMOMIN                                          ( MALE",LILIANI T.C.,138060104,-,-,,402,0,402,2,0,2
"",,LILIANI T.C.,138060201,-,-,,487,0,487,,,
"",,LILIANI T.C.,138060202,-,-,,251,0,251,,,
156 Total,,,,-,-,-,1140,0,1140,2,0,2
243,"GOVERNMENT GIRLS HIGHERSECONDARY SCHOOL, LILLIANI,  KOTMOMIN   ( FEMALE ) (P)",LILIANI T.C.,138060104,-,-,,0,221,221,0,2,2
"",,LILIANI T.C.,138060201,-,-,,0,361,361,,,
"",,LILIANI T.C.,138060202,-,-,,0,136,136,,,
157 Total,,,,-,-,-,0,718,718,0,2,2
244,"GOVERNMENT BOYS HIGH SCHOOL,LILLIANI, KOT MOMIN (T)",LILIANI T.C.,138060203,-,-,,365,249,614,2,1,3
"",,LILIANI T.C.,138060204,-,-,,365,217,582,,,
"",,LILIANI T.C.,138060301,-,-,,180,124,304,,,
158 Total,,,,-,-,-,910,590,1500,2,1,3
245,"GOVERNMENT BOYS HIGH SCHOOL,LILLIANI, KOT MOMIN( MALE ) (P)",LILIANI T.C.,138060302,-,-,,322,0,322,2,0,2
"",,LILIANI T.C.,138060303,-,-,,351,0,351,,,
"",,LILIANI T.C.,138060304,-,-,,174,0,174,,,
"",,LILIANI T.C.,138060305,-,-,,288,0,288,,,
159 Total,,,,-,-,-,1135,0,1135,2,0,2
246,"GOVERNMENT BOYS HIGH SCHOOL,LILLIANI, KOT MOMIN( FEMALE ) (P)",LILIANI T.C.,138060302,-,-,,0,293,293,0,2,2
"",,LILIANI T.C.,138060303,-,-,,0,294,294,,,
"",,LILIANI T.C.,138060304,-,-,,0,116,116,,,
"",,LILIANI T.C.,138060305,-,-,,0,193,193,,,
160 Total,,,,-,-,-,0,896,896,0,2,2
"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area is",,Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK NO 31/N.B (T)",CHAK NO 031/N.B,132040101,-,-,,642,519,1161,2,2,4
"",,,CHAK NO 031/N.B,132040102,-,-,,377,296,673,,,
"",1 Total,,,,-,-,-,1019,815,1834,2,2,4
"",2,"GOVERNMENT BOYS ELEMENTARYSCHOOL CHAK NO 041/N.B (WEST)(MALE) T(T)",CHAK NO 041/N.B,132040103,-,-,,357,0,357,4,0,4
"",,,CHAK NO 041/N.B,132040104,-,-,,562,0,562,,,
"",,,CHAK NO 041/N.B,132040105,-,-,,551,0,551,,,
"",,,CHAK NO 041/N.B,132040106,-,-,,568,0,568,,,
"",,,CHAK NO 041/N.B,132040107,-,-,,265,0,265,,,
"",2 Total,,,,-,-,-,2303,0,2303,4,0,4
"",3,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK NO 041/N.B (FEMALE)(T)",CHAK NO 041/N.B,132040103,-,-,,0,312,312,0,4,4
"",,,CHAK NO 041/N.B,132040104,-,-,,0,441,441,,,
"",,,CHAK NO 041/N.B,132040105,-,-,,0,468,468,,,
"",,,CHAK NO 041/N.B,132040106,-,-,,0,405,405,,,
"",,,CHAK NO 041/N.B,132040107,-,-,,0,173,173,,,
"",3 Total,,,,-,-,-,0,1799,1799,0,4,4
"",4,"GOVERNMENT BOYS ELEMENTARYSCHOOL MITHA LUCK (WEST) (P)",MITHA LUCK,132040108,-,-,,115,105,220,2,1,3
"",,,MITHA LUCK,132040109,-,-,,585,481,1066,,,
"",4 Total,,,,-,-,-,700,586,1286,2,1,3
"",5,"GOVERNMENT BOYS ELEMENTARYSCHOOL MIHTA LUCK (EAST) (P)",MITHA LUCK,132040110,-,-,,136,106,242,2,2,4
"",,,MITHA LUCK,132040111,-,-,,186,147,333,,,
"",,,MITHA LUCK,132040112,-,-,,169,126,295,,,
"",,,MITHA LUCK,132040118,-,-,,169,165,334,,,
"",,,MITHA LUCK,132040119,-,-,,180,158,338,,,
"",5 Total,,,,-,-,-,840,702,1542,2,2,4
"",6,"GOVERNMENT GIRLS ELEMENTARYSCHOOL MITHA LUCK (P)",MITHA LUCK,132040113,-,-,,102,85,187,2,1,3
"",,,MITHA LUCK,132040114,-,-,,170,135,305,,,
"",,,MITHA LUCK,132040115,-,-,,146,119,265,,,
"",,,MITHA LUCK,132040116,-,-,,116,103,219,,,
"",,,MITHA LUCK,132040117,-,-,,145,126,271,,,
"",6 Total,,,,-,-,-,679,568,1247,2,1,3
"",7,"GOVERNMENT BOYS HIGH SCHOOLCHAK NO 75/S.B (MALE) (P)",CHAK NO 075/S.B,132040201,-,-,,450,0,450,3,0,3
CHAK NO 075/S.B,132040202,-,-,,336,0,336,,,,,,
CHAK NO 075/S.B,132040214,-,-,,534,0,534,,,,,,
8,"GOVERNMENT BOYS HIGH SCHOOLCHAK NO 75/S.B (FEMALE) (P)",CHAK NO 075/S.B,132040201,-,-,,0,352,352,0,2,2
"",,CHAK NO 075/S.B,132040202,-,-,,0,325,325,,,
"",,CHAK NO 075/S.B,132040214,-,-,,0,455,455,,,
8 Total,,,,-,-,-,0,1132,1132,0,2,2
9,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK 75-A/S.B (T)",CHAK NO 075/S.B,132040203,-,-,,282,236,518,2,1,3
"",,CHAK NO 075/S.B,132040215,-,-,,224,122,346,,,
"",,CHAK NO 075-A/S.B,132040807,-,-,,293,262,555,,,
9 Total,,,,-,-,-,799,620,1419,2,1,3
10,"GOVERNMENT GIRLS ELEMENTARYCHOKIRA (MALE) (T)",CHOKIRA(79/SB & 32/NB),132040204,-,-,,206,0,206,3,0,3
"",,CHOKIRA(79/SB & 32/NB),132040205,-,-,,324,0,324,,,
"",,CHOKIRA(79/SB & 32/NB),132040206,-,-,,98,0,98,,,
"",,CHOKIRA(79/SB & 32/NB),132040208,-,-,,296,0,296,,,
"",,CHOKIRA(79/SB & 32/NB),132040209,-,-,,233,0,233,,,
"",,CHOKIRA(79/SB & 32/NB),132040212,-,-,,361,0,361,,,
10 Total,,,,-,-,-,1518,0,1518,3,0,3
11,"GOVERNMENT BOYS HIGH SCHOOLCHOKIRA (FEMALE) (P)",CHOKIRA(79/SB & 32/NB),132040204,-,-,,0,156,156,0,3,3
"",,CHOKIRA(79/SB & 32/NB),132040205,-,-,,0,229,229,,,
"",,CHOKIRA(79/SB & 32/NB),132040206,-,-,,0,106,106,,,
"",,CHOKIRA(79/SB & 32/NB),132040208,-,-,,0,226,226,,,
"",,CHOKIRA(79/SB & 32/NB),132040209,-,-,,0,202,202,,,
"",,CHOKIRA(79/SB & 32/NB),132040212,-,-,,0,305,305,,,
11 Total,,,,-,-,-,0,1224,1224,0,3,3
12,"GOVERNMENTGIRLS ELEMENTARYSCHOOL CHOKIRA   (T)",CHOKIRA(79/SB & 32/NB),132040207,-,-,,105,87,192,2,2,4
"",,CHOKIRA(79/SB & 32/NB),132040210,-,-,,467,459,926,,,
"",,CHOKIRA(79/SB & 32/NB),132040211,-,-,,18,21,39,,,
"",,CHOKIRA(79/SB & 32/NB),132040213,-,-,,273,261,534,,,
12 Total,,,,-,-,-,863,828,1691,2,2,4
"",SCHOOL CHAK NO.38 N.B  (T),CHAK NO 038/N.B,132040302,-,-,,585,530,1115,,,
13 Total,,,,-,-,-,738,660,1398,2,2,4
14,"GOVERNMENT GIRLS ELEMENTRYSCHOOL CHAK NO. 39 N.B  ( MALE)(EAST) (P)",CHAK NO 039/N.B,132040303,-,-,,530,0,530,3,0,3
"",,CHAK NO 039/N.B,132040304,-,-,,630,0,630,,,
"",,CHAK NO 039/N.B,132040305,-,-,,372,0,372,,,
14 Total,,,,-,-,-,1532,0,1532,3,0,3
15,"GOVERNEMNT GIRLS ELEMENTRYSCHOOL CHAK NO. 39 N.B. (FEMALE)(WEST) (P)",CHAK NO 039/N.B,132040303,-,-,,0,488,488,0,3,3
"",,CHAK NO 039/N.B,132040304,-,-,,0,485,485,,,
"",,CHAK NO 039/N.B,132040305,-,-,,0,311,311,,,
15 Total,,,,-,-,-,0,1284,1284,0,3,3
16,"GOVERNMENT GIRLS MIDDLESCHOOL, SAIDOANNA  ( MALE ) (P)",SAIDOANNA,132040501,-,-,,465,0,465,2,0,2
"",,SAIDOANNA,132040502,-,-,,327,0,327,,,
"",,SAIDOANNA,132040503,-,-,,335,0,335,,,
16 Total,,,,-,-,-,1127,0,1127,2,0,2
17,"GOVERNMENT GIRLS MIDDLESCHOOL, SAIDOANNA ( FEMALE ) (P)",SAIDOANNA,132040501,-,-,,0,360,360,0,2,2
"",,SAIDOANNA,132040502,-,-,,0,282,282,,,
"",,SAIDOANNA,132040503,-,-,,0,255,255,,,
17 Total,,,,-,-,-,0,897,897,0,2,2
18,"GOVERNMENT BOYS PRIMARYSCHOOL, CHAK NO. 91 SB         ( MALE )(T)",CHAK NO 091/S.B,132040504,-,-,,339,0,339,3,0,3
"",,CHAK NO 091/S.B,132040505,-,-,,522,0,522,,,
"",,CHAK NO 091/S.B,132040506,-,-,,698,0,698,,,
18 Total,,,,-,-,-,1559,0,1559,3,0,3
19,"GOVERNMENT GIRLS  ELEMENTARYSCHOOL, CHAK NO. 91 SB           (FEMALE )  (T)",CHAK NO 091/S.B,132040504,-,-,,0,237,237,0,3,3
"",,CHAK NO 091/S.B,132040505,-,-,,0,414,414,,,
"",,CHAK NO 091/S.B,132040506,-,-,,0,573,573,,,
19 Total,,,,-,-,-,0,1224,1224,0,3,3
20,"GOVERNMENT BOYS PRIMARYSCHOOL, CHAK NO. 91 ASB         (MALE )  (T)",CHAK NO 091-A/S.B,132040507,-,-,,236,0,236,3,0,3
"",,CHAK NO 091-A/S.B,132040508,-,-,,694,0,694,,,
"",,CHAK NO 091-A/S.B,132040509,-,-,,379,0,379,,,
20 Total,,,,-,-,-,1309,0,1309,3,0,3
21,"GOVERNMENTGIRLS PRIMARYSCHOOL, CHAK NO. 91 ASB         (FEMALE )  (T)",CHAK NO 091-A/S.B,132040507,-,-,,0,166,166,0,2,2
"",,CHAK NO 091-A/S.B,132040508,-,-,,0,573,573,,,
"",,CHAK NO 091-A/S.B,132040509,-,-,,0,283,283,,,
21 Total,,,,-,-,-,0,1022,1022,0,2,2
22,"GOVERNMENT MODEL PRIMARYSCHOOL, 21 RASALA   (T)",CHAK NO 029/N.B,132040601,-,-,,502,448,950,1,1,2
22 Total,,,,-,-,-,502,448,950,1,1,2
23,"GOVERNMENT BOYS PRIMARYSCHOOL, CHAK NO. 29 NB   (T)",CHAK NO 029/N.B,132040602,-,-,,574,570,1144,1,1,2
23 Total,,,,-,-,-,574,570,1144,1,1,2
CHAK NO 035/N.B,132040603,-,-,,266,0,266,,,,,
"",,CHAK NO 035/N.B,132040605,-,-,,341,0,341,,,
24 Total,,,,-,-,-,1216,0,1216,3,0,3
25,"GOVERNMENT GIRLS PRIMARYSCHOOL, CHAK NO. 35 NB (FEMALE)(T)",CHAK NO 035/N.B,132040603,-,-,,0,289,289,0,2,2
"",,CHAK NO 035/N.B,132040604,-,-,,0,452,452,,,
"",,CHAK NO 035/N.B,132040605,-,-,,0,287,287,,,
25 Total,,,,-,-,-,0,1028,1028,0,2,2
26,"GOVERNMENT BOYS PRIMARYSCHOOL, CHAK NO. 33 NB   (T)",CHAK NO 033/N.B,132040606,-,-,,870,682,1552,2,2,4
"",,CHAK NO 033/N.B,132040607,-,-,,212,172,384,,,
26 Total,,,,-,-,-,1082,854,1936,2,2,4
27,"GOVERNMENT BOYS ELEMENTARYSCHOOL, CHAK NO. 34 NB   (T)",CHAK NO 034/N.B,132040701,-,-,,316,244,560,2,2,4
"",,CHAK NO 034/N.B,132040702,-,-,,629,502,1131,,,
27 Total,,,,-,-,-,945,746,1691,2,2,4
28,"GOVERNMENT GIRLS HIGH SCHOOL,CHAK NO. 34 NB            ( MALE )  (P)",CHAK NO 034/N.B,132040703,-,-,,834,0,834,2,0,2
"",,CHAK NO 034/N.B,132040704,-,-,,344,0,344,,,
28 Total,,,,-,-,-,1178,0,1178,2,0,2
29,"GOVERNMENT GIRLS HIGH SCHOOL,CHAK NO. 34 NB           ( FEMALE )  (P)",CHAK NO 034/N.B,132040703,-,-,,0,779,779,0,2,2
"",,CHAK NO 034/N.B,132040704,-,-,,0,313,313,,,
29 Total,,,,-,-,-,0,1092,1092,0,2,2
30,"BASIC HEALTH CENTRE CHAK NO. 36NB   (T)",CHAK NO 036/N.B,132040705,-,-,,73,50,123,2,2,4
"",,CHAK NO 036/N.B,132040706,-,-,,338,296,634,,,
"",,CHAK NO 036/N.B,132040712,-,-,,710,625,1335,,,
30 Total,,,,-,-,-,1121,971,2092,2,2,4
31,"GOVERNMENT BOYS MIDDLE SCHOOL,CHAK NO. 36 NB (P)",CHAK NO 036/N.B,132040707,-,-,,655,570,1225,2,2,4
"",,CHAK NO 036/N.B,132040708,-,-,,188,186,374,,,
31 Total,,,,-,-,-,843,756,1599,2,2,4
32,"GOVERNMENT BOYS PRIAMRYSCHOOL, CHAK NO 37 NB  (T)",CHAK NO 037/N.B,132040709,-,-,,918,0,918,2,0,2
"",,CHAK NO 037/N.B,132040710,-,-,,177,0,177,,,
"",,CHAK NO 037/N.B,132040711,-,-,,103,0,103,,,
32 Total,,,,-,-,-,1198,0,1198,2,0,2
33,"(32) GOVERNMENT GIRLS PRIAMRYSCHOOL, CHAK NO 37 NB  (T)",CHAK NO 037/N.B,132040709,-,-,,0,788,788,0,2,2
"",,CHAK NO 037/N.B,132040710,-,-,,0,170,170,,,
"",,CHAK NO 037/N.B,132040711,-,-,,0,56,56,,,
33 Total,,,,-,-,-,0,1014,1014,0,2,2
