"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
Ahmed Abad,205070803,,,,380,235,615,,,,,,
"",,,,,459,270,729,,,,,,
Ahmed Abad,205070801,,,,798,621,1419,,,,,,
"",34,Girls Pry. School 58/KB  (Male)(P),58/KB,205050901,,,,355,0,355,3,0,3
"",,,58/KB,205050902,,,,272,0,272,,,
"",,,58/KB,205050903,,,,143,0,143,,,
"",,,58/KB,205050904,,,,443,0,443,,,
"",,,58/KB,205050905,,,,508,0,508,,,
"",,,,,,,,1721,,1721,,,
"",35,"Boys Elementary. School 58/KB(Female)(P)",58/KB,205050901,,,,0,288,288,0,2,2
58/KB,205050902,,,,0,132,132,,,,,,
58/KB,205050903,,,,0,109,109,,,,,,
58/KB,205050904,,,,0,262,262,,,,,,
58/KB,205050905,,,,0,367,367,,,,,,
"",,,,,,1158,1158,,,,,,
60/KB,2  0   5  0  5  0  906,,,,216,187,403,,,,,,
61/KB,205050907,,,,208,204,412,,,,,,
"",,,,,,,,424,391,815,,,
"",37,"Boys Pry. School Allah Abad BastiSharif Abad(P)",Allah abad,205051201,,,,320,265,585,1,1,2
"",,,Allah abad,205051202,,,,372,255,627,,,
"",,,,,,,,692,520,1212,,,
"",38,"Boys Pry. School Allah Abad BastiSharif Abad(P)",Allah abad,205051203,,,,473,445,918,2,1,3
"",,,Allah abad,205051204,,,,394,305,699,,,
"",,,,,,,,867,750,1617,,,
"",39,"Boys Pry. School Allah Abad (HamidWah)(P)",Allah abad,202051205,,,,321,267,588,1,1,2
"",,,Allah abad,205051206,,,,403,332,735,,,
"",,,,,,,,724,599,1323,,,
"",40,NCHE School Basti Fareed Nagar,Allah abad,205051207,,,,421,266,687,1,1,2
Allah abad,205051208,,,,275,214,489,,,,,,
"",,,,,696,480,1176,,,,,,
"",41,NCHE School Basti Fareed Nagar,Allah abad,205051210,,,,249,191,440,1,1,2
"",,,Allah abad,205051211,,,,258,145,403,,,
"",,,,,,,,662,439,1101,,,
"",42,"Boys Higher Secondary School Pry.Block  Sahuka (Male) (P)",Sahu Ka,206051801,,,,399,0,399,3,0,3
"",,,Sahu Ka,206051802,,,,493,0,493,,,
"",,,Sahu Ka,206051803,,,,363,0,363,,,
"",,,Sahu Ka,206051804,,,,355,0,355,,,
"",,,Sahu Ka,206051805,,,,329,0,329,,,
"",,,,,,,,1939,0,1939,,,
"",43,"Girls High School Sahu Ka HighBlock(P)",Sahu Ka,206051807,,,,240,164,404,1,1,2
Sahu Ka,206051808,,,,235,189,424,,,,,,
"",,,,,475,353,828,,,,,,
Sahu Ka,206051806,,,,883,683,1566,,,,,,
"",45,"Girls High School Sahu Ka HighBlock(P)",Sahu Ka,206051809,,,,220,204,424,2,1,3
"",,,Sahu Ka,206051810,,,,74,62,136,,,
"",,,Sahu Ka,206051811,,,,551,440,991,,,
"",,,,,,,,845,706,1551,,,
"",46,"Govt. Higher Secondary SchoolMiddle Block  Sahuka(Female  (P)",Sahu Ka,206051801,,,,0,298,298,0,2,2
Sahu Ka,206051802,,,,0,363,363,,,,,,
Sahu Ka,206051803,,,,0,302,302,,,,,,
Sahu Ka,206051804,,,,0,297,297,,,,,,
Sahu Ka,206051805,,,,0,284,284,,,,,,
"",,,,,0,1544,1544,,,,,,
Kot Qadir Bakhsh,2  06051504,,,,254,149,403,,,,,,
Kot Qadir Bakhsh,2  06051505,,,,320,237,557,,,,,,
Hindla Khas,206051603,,,,426,282,708,,,,,,
Hindali Sani,206051607,,,,60,34,94,,,,,,
"",,,,,,,,1060,702,1762,,,
"",48,Girls Pry. School 40/KB(P),40/KB,206051705,,,,278,244,522,1,1,2
"",,,40/KB,206051706,,,,251,144,395,,,
"",,,40/KB,206051707,,,,222,248,470,,,
"",,,,,,,,751,636,1387,,,
"",49,Grils Primary School  Mughrana(P),Shamas Shah,206051403,,,,3,0,3,2,1,3
"",,,Mughrana,206051501,,,,513,413,926,,,
"",,,41/KB,206051701,,,,284,194,478,,,
"",,,41/KB,206051702,,,,204,128,332,,,
"",,,,,,,,1004,735,1739,,,
"",50,Boys Pry. School Mouza Bhattian,Bhattian,2  0  6  0   5  1 710,,,,387,289,676,1,1,2
"Muhammad ShahVains",206051711,,,,136,108,244,,,,,,
"",,,,,523,397,920,,,,,,
"",51,Boys Pry. School Mouza Bhattian,Bhattian,2  0  6  0   5  1 709,,,,414,335,749,1,1,2
"",,,,,,,,611,499,1110,,,
"",52,Boys Pry. School Khokra (Amin Kot),Khokra,206051703,,,,361,254,615,1,1,2
"",,,Khokra,206051704,,,,403,324,727,,,
"",,,,,,,,764,578,1342,,,
"",53,Boys Pry. School Murad Ali,Murad Ali,2  0  6  0  5   1  6  0  1,,,,588,369,957,2,1,3
Murad Ali,2  0  6  0  5   1  6  0  2,,,,105,43,148,,,,,,
Shah Jahan,2  0  6  0  5  1605,,,,53,22,75,,,,,,
Mansoor Shah,206051606,,,,137,108,245,,,,,,
"",,,,,883,542,1425,,,,,,
Rahim Shah,206051502,,,,319,236,555,,,,,,
Dona Ali Khan,2  0  6051503,,,,60,27,87,,,,,,
Baghsar,206051604,,,,22,14,36,,,,,,
"",55,Govt.Boys Pry  school. Gahishah,Saldera Hithar,206051401,,,,447,225,672,2,1,3
"",,,Saldera Hithar,206051402,,,,526,381,907,,,
"",,,Gahi shah,206051306,,,,243,139,382,,,
"",,,,,,,,973,606,1579,,,
"",56,Boys Middle School 317/EB (Male)(P),317/EB,206050301,,,,297,0,297,3,0,3
317/EB,206050302,,,,140,0,140,,,,,,
317/EB,206050303,,,,707,0,707,,,,,,
317/EB,206050304,,,,200,0,200,,,,,,
317/EB,206050305,,,,289,0,289,,,,,,
317/EB,206050306,,,,252,0,252,,,,,,
"",,,,,1885,0,1885,,,,,,
317/EB,206050301,,,,0,128,128,,,,,,
317/EB,206050302,,,,0,79,79,,,,,,
317/EB,206050303,,,,0,444,444,,,,,,
"",57,"Girls Middle School 317/EB (East)(Female)(P)",317/EB,206050304,,,,0,163,163,0,2,2
"",,,317/EB,206050305,,,,0,196,196,,,
"",,,317/EB,206050306,,,,0,166,166,,,
"",,,,,,,,0,1176,1176,,,
"",58,Girls Pry. School 317/EB (West)(P),317/EB,206050309,,,,154,137,291,1,1,2
"",,,317/EB,206050310,,,,292,248,540,,,
"",,,,,,,,446,385,831,,,
"",59,Girls Pry. School 317/EB (West)(P),317/EB,206050307,,,,491,452,943,2,1,3
"",,,317/EB,206050308,,,,331,282,613,,,
"",,,,,,,,822,734,1556,,,
"",60,Boys Pry. School 333/EB (Male)(P),333/EB,206050314,,,,664,0,664,2,0,2
333/EB,206050315,,,,539,0,539,,,,,,
"",,,,,1203,0,1203,,,,,,
"",61,"Girls  Community Model Middle.School 333/EB (Female)(P)",333/EB,206050315,,,,0,425,425,0,2,2
"",,,,,,,,0,917,917,,,
"",62,Boys Middle School 315/EB (Male)(P),315/EB,206050311,,,,801,0,801,3,0,3
"",,,315/EB,206050312,,,,525,0,525,,,
"",,,315/EB,206050313,,,,457,0,457,,,
"",,,,,,,,1783,0,1783,,,
"",63,Girls High School 315/EB (Female)(P),315/EB,206050311,,,,0,626,626,0,2,2
"",,,315/EB,206050312,,,,0,381,381,,,
"",,,315/EB,206050313,,,,0,316,316,,,
"",,,,,,,,0,1323,1323,,,
"",64,Boys Pry. School 313/EB,313/EB,206050205,,,,512,447,959,1,1,2
"",,,,,,,0,,,,,,
311/EB,206050201,,,,923,0,923,,,,,,
"",65,Boys Middle School 311/EB (Male)(P),311/EB,206050203,,,,161,0,161,2,0,2
"",,,311/EB,206050204,,,,151,0,151,,,
"",,,,,,,,1397,0,1397,,,
"",66,Girls Pry. School 311/EB (Female)(P),311/EB,206050201,,,,0,621,621,0,2,2
"",,,311/EB,206050202,,,,0,87,87,,,
"",,,311/EB,206050203,,,,0,103,103,,,
"",,,311/EB,206050204,,,,0,87,87,,,
"",,,,,,,,0,898,898,,,
"",67,Boys Pry. School 309/EB (Male)(P),309/EB,206050105,,,,604,0,604,2,0,2
309/EB,206050106,,,,322,0,322,,,,,,
309/EB,206050107,,,,473,0,473,,,,,,
"",,,,,1399,0,1399,,,,,,
309/EB,206050105,,,,0,440,440,,,,,,
"",,309/EB,206050107,,,,0,323,323,,,
"",,,,,,,0,948,948,,,
69,"Girls Pry. School 307/EB East(Male)(P)",307/EB,206050401,,,,262,0,262,2,0,2
307/EB,206050402,,,,271,0,271,,,,,
307/EB,206050403,,,,225,0,225,,,,,
307/EB,206050404,,,,404,0,404,,,,,
307/EB,206050405,,,,193,0,193,,,,,
307/EB,206050406,,,,94,0,94,,,,,
"",,,,,1449,0,1449,,,,,
307/EB,206050401,,,,0,186,186,,,,,
307/EB,206050402,,,,0,182,182,,,,,
307/EB,206050403,,,,0,148,148,,,,,
307/EB,206050404,,,,0,324,324,,,,,
"",,,307/EB,206050406,,,,0,73,73,,,
"",,,,,,,,0,1026,1026,,,
"",71,Girls Middle. School 319/EB (Male)(P),319/EB,206050407,,,,638,0,638,2,0,2
"",,,319/EB,206050408,,,,348,0,348,,,
"",,,319/EB,206050409,,,,379,0,379,,,
"",,,,,,,,1365,0,1365,,,
"",72,Boys Pry. School 319/EB (Female)(P),319/EB,206050407,,,,0,371,371,0,2,2
"",,,319/EB,206050408,,,,0,265,265,,,
"",,,319/EB,206050409,,,,0,268,268,,,
"",,,,,,,,0,904,904,,,
"",73,"Govt.Elementary School, 321/EB(P)",321/EB,206050411,,,,391,270,661,1,1,2
321/EB,206050412,,,,324,239,563,,,,,,
"",,,,,715,509,1224,,,,,,
"",,,,,,,,709,422,1131,,,
"",75,Boys Middle School 297/EB (Male)(P),297/EB,206050101,,,,701,0,701,2,0,2
"",,,297/EB,206050102,,,,415,0,415,,,
"",,,297/EB,206050103,,,,322,0,322,,,
"",,,297/EB,206050104,,,,149,0,149,,,
"",,,,,,,,1587,0,1587,,,
"",76,Girls Pry. School 297/EB (Female)(P),297/EB,206050101,,,,0,429,429,0,2,2
297/EB,206050102,,,,0,262,262,,,,,,
297/EB,206050103,,,,0,263,263,,,,,,
297/EB,206050104,,,,0,80,80,,,,,,
"",,,,,0,1034,1034,,,,,,
47/KB,206050703,,,,450,0,450,,,,,,
47/KB,206050704,,,,387,0,387,,,,,,
"",,,,,,,,1188,0,1188,,,
"",78,"Girls Elementary. School 47/KB(Male)",47/KB,206050701,,,,415,0,415,2,0,2
"",,,47/KB,206050702,,,,407,0,407,,,
"",,,,,,,,822,0,822,,,
"",79,"Boys Elementary School 47/KB(Female)(P)",47/KB,206050701,,,,0,292,292,0,2,2
"",,,47/KB,206050702,,,,0,278,278,,,
"",,,47/KB,206050703,,,,0,342,342,,,
"",,,47/KB,206050704,,,,0,292,292,,,
"",,,47/KB,206050705,,,,0,230,230,,,
"",,,,,,,,0,1434,1434,,,
"",80,Boys Pry. School 48/KB,48/KB,206050706,,,,461,394,855,2,1,3
48/KB,206050707,,,,468,311,779,,,,,,
"",,,,,929,705,1634,,,,,,
"",81,Boys Pry. School 49/KB(P),49/KB,206050709,,,,312,225,537,2,1,3
"",,,,,,,,825,613,1438,,,
"",82,"Boys High School seldera Otar FarooqAbad       ( Male)(P)",Saldera Otar,206051301,,,,404,0,404,2,0,2
"",,,Saldera Otar,206051302,,,,173,0,173,,,
"",,,Madhar,206051305,,,,270,0,270,,,
"",,,,,,,,847,0,847,,,
"",83,"Boys High School seldera Otar FarooqAbad High Portion (Female) (P)",Saldera Otar,206051301,,,,0,257,257,0,1,1
"",,,Saldera Otar,206051302,,,,0,126,126,,,
"",,,Madhar,206051305,,,,0,215,215,,,
"",,,,,,,,0,598,598,,,
"",84,Grils Middle School Farooq abad(P),Saldera Otar,2   0  6051303,,,,450,346,796,1,1,2
Saldera Otar,2   0  6051304,,,,258,185,443,,,,,,
"",,,,,708,531,1239,,,,,,
"",85,Boys Pry. School 50/KB(P),50/KB,2  0   6  0  5  1  0  0  2,,,,416,324,740,2,1,3
"",,,50/KB,2  0   6  0  5  1  0  0  3,,,,389,250,639,,,
"",,,Kot Ghatta,206051004,,,,27,13,40,,,
"",,,,,,,,1047,737,1784,,,
"",86,Boys Pry. School 51/KB(P),51/KB,206051005,,,,618,519,1137,2,2,4
"",,,51/KB,206051006,,,,178,133,311,,,
"",,,51/KB,206051007,,,,128,186,314,,,
"",,,,,,,,924,838,1762,,,
"",87,Boys Pry. School 52/KB (Male)(P),52/KB,206051011,,,,242,0,242,2,0,2
52/KB,206051012,,,,610,0,610,,,,,,
52/KB,206051013,,,,214,0,214,,,,,,
"",,,,,1066,0,1066,,,,,,
52/KB,206051008,,,,702,0,702,,,,,,
"",,,52/KB,206051010,,,,210,0,210,,,
"",,,,,,,,1202,0,1202,,,
"",89,Boys Pry. School 52/KB (Female)(P),52/KB,206051008,,,,0,506,506,0,3,3
"",,,52/KB,206051009,,,,0,193,193,,,
"",,,52/KB,206051010,,,,0,178,178,,,
"",,,52/KB,206051011,,,,0,159,159,,,
"",,,52/KB,206051012,,,,0,484,484,,,
"",,,52/KB,206051013,,,,0,151,151,,,
"",,,,,,,,0,1671,1671,,,
"",90,Grils Pry. School 42/KB(P),Kora Kamdana,206050905,,,,35,18,53,1,1,2
Kot Khabba,206050906,,,,143,127,270,,,,,,
42/KB,2  0   6  0  5  0  9 07,,,,313,271,584,,,,,,
"",,,,,491,416,907,,,,,,
"",91,Boys Pry. School 44/KB (Male)(P),44/KB,206050902,,,,615,0,615,2,0,2
"",,,44/KB,206050903,,,,177,0,177,,,
"",,,44/KB,206050904,,,,318,0,318,,,
"",,,,,,,,1443,0,1443,,,
"",92,Girls Pry. School 44/KB (Female)(P),44/KB,206050901,,,,0,287,287,0,2,2
"",,,44/KB,206050902,,,,0,536,536,,,
"",,,44/KB,206050903,,,,0,143,143,,,
"",,,44/KB,206050904,,,,0,199,199,,,
"",,,,,,,,0,1165,1165,,,
"",93,Boys Pry. School 45/KB(P),45/KB,206050801,,,,337,253,590,2,1,3
45/KB,206050802,,,,424,331,755,,,,,,
45/KB,206050803,,,,243,181,424,,,,,,
"",,,,,1004,765,1769,,,,,,
"",94,Girls Pry. School 46/KB(P),46/KB,206050805,,,,166,122,288,1,1,2
"",,,,,,,,566,438,1004,,,
"",95,"Boys High School Ghafoor Wah(Male)(P)",Ghafoor Wah (J),206051201,,,,849,0,849,3,0,3
Ghafoor Wah (J),206051202,,,,330,0,330,,,,,,
Ghafoor Wah (J),206051203,,,,258,0,258,,,,,,
Ghafoor Wah (J),206051204,,,,194,0,194,,,,,,
Ghafoor Wah (J),206051205,,,,265,0,265,,,,,,
"",,,,,1896,0,1896,,,,,,
Ghafoor Wah (J),206051201,,,,0,732,732,,,,,,
Ghafoor Wah (J),206051202,,,,0,261,261,,,,,,
Ghafoor Wah (J),206051203,,,,0,219,219,,,,,,
Ghafoor Wah (J),206051204,,,,0,149,149,,,,,,
Ghafoor Wah (J),206051205,,,,0,193,193,,,,,,
"",97,"Govt. High. School Ghafoor Wah PryPortion   (Male)",Ghafoor Wah (S),206051103,,,,880,0,880,3,0,3
"",,,Ghafoor Wah (S),206051104,,,,630,0,630,,,
"",,,Ghafoor Wah (S),206051105,,,,211,0,211,,,
"",,,Ghafoor Wah (S),206051106,,,,116,0,116,,,
"",,,,,,,,1837,0,1837,,,
"",98,"Girls Pry. School Ghafoor Wah(Female)(P)",Ghafoor Wah (S),206051103,,,,0,722,722,0,2,2
"",,,Ghafoor Wah (S),206051104,,,,0,432,432,,,
"",,,Ghafoor Wah (S),206051105,,,,0,239,239,,,
"",,,Ghafoor Wah (S),206051106,,,,0,51,51,,,
"",,,,,,,,0,1444,1444,,,
"",99,"Dispensary U. C. Nawan Dera GhafoorWah",Ghafoor Wah (S),206051101,,,,226,150,376,1,1,2
Ghafoor Wah (S),206051102,,,,203,148,351,,,,,,
"",,,,,429,298,727,,,,,,
Chak No. 265/EB,206040101,,,,308,231,539,,,,,,
"",100,Boys Middle . School 265/EB(P),Chak No. 265/EB,206040102,,,,523,397,920,2,1,3
"",,,,,,,,831,628,1459,,,
"",101,"Girls Middle School 265/EB (Pry.Portion) (Male)(P)",Chak No. 265/EB,206040103,,,,293,0,293,2,0,2
"",,,Chak No. 265/EB,206040104,,,,412,0,412,,,
"",,,Chak No. 265/EB,206040105,,,,282,0,282,,,
"",,,Chak No. 265/EB,206040106,,,,44,0,44,,,
"",,,,,,,,1031,0,1031,,,
"",102,"Girls Middle School 265/EB (MiddlePortion) (Female)(P)",Chak No. 265/EB,206040103,,,,0,180,180,0,1,1
Chak No. 265/EB,206040104,,,,0,284,284,,,,,,
Chak No. 265/EB,206040105,,,,0,228,228,,,,,,
Chak No. 265/EB,206040106,,,,0,35,35,,,,,,
"",,,,,0,727,727,,,,,,
Chak No. 267/EB,206040107,,,,558,0,558,,,,,,
"",,(Male)(P),Chak No. 267/EB,206040109,,,,379,0,379,,,
"",,,,,,,,1464,0,1464,,,
"",104,"Girls Middle School 267/EB(Female)(P)",Chak No. 267/EB,206040107,,,,0,429,429,0,2,2
"",,,Chak No. 267/EB,206040108,,,,0,372,372,,,
"",,,Chak No. 267/EB,206040109,,,,0,279,279,,,
"",,,,,,,,0,1080,1080,,,
"",105,Boys High School 269/EB (Male)(P),Chak No. 269/EB,206040110,,,,266,0,266,2,0,2
Chak No. 269/EB,206040111,,,,364,0,364,,,,,,
Chak No. 269/EB,206040112,,,,493,0,493,,,,,,
Chak No. 269/EB,206040113,,,,292,0,292,,,,,,
"",,,,,1415,0,1415,,,,,,
Chak No. 269/EB,206040110,,,,0,204,204,,,,,,
Chak No. 269/EB,206040111,,,,0,309,309,,,,,,
"",,,Chak No. 269/EB,206040113,,,,0,205,205,,,
"",,,,,,,,0,1101,1101,,,
"",107,Boys Middle School 287/EB (Male)(P),Chak No. 287/EB,206040201,,,,309,0,309,2,0,2
"",,,Chak No. 287/EB,206040202,,,,359,0,359,,,
"",,,Chak No. 287/EB,206040203,,,,597,0,597,,,
"",,,,,,,,1265,0,1265,,,
"",108,"Girls Middle School 287/EB(Female)(P)",Chak No. 287/EB,206040201,,,,0,207,207,0,2,2
Chak No. 287/EB,206040202,,,,0,221,221,,,,,,
Chak No. 287/EB,206040203,,,,0,448,448,,,,,,
"",,,,,0,876,876,,,,,,
Chak No. 299/EB,206040204,,,,540,0,540,,,,,,
Chak No. 299/EB,206040205,,,,380,0,380,,,,,,
Chak No. 299/EB,206040206,,,,280,0,280,,,,,,
"",110,"Govt.Girls Community Model Pry.School 299/EB (Female)(P)",Chak No. 299/EB,206040204,,,,0,453,453,0,2,2
"",,,Chak No. 299/EB,206040205,,,,0,288,288,,,
"",,,Chak No. 299/EB,206040206,,,,0,224,224,,,
"",,,,,,,,0,965,965,,,
"",111,Boys Pry. School 243/EB (Male)(P),Chak No. 243/EB,206040301,,,,619,0,619,2,0,2
"",,,Chak No. 243/EB,206040302,,,,331,0,331,,,
"",,,Chak No. 243/EB,206040303,,,,153,0,153,,,
"",,,,,,,,1103,0,1103,,,
"",112,"Girls Middle. School 243/EB(Female)(P)",Chak No. 243/EB,206040301,,,,0,444,444,0,2,2
Chak No. 243/EB,206040302,,,,0,237,237,,,,,,
Chak No. 243/EB,206040303,,,,0,99,99,,,,,,
"",,,,,0,780,780,,,,,,
Chak No. 251/EB,206040304,,,,375,0,375,,,,,,
Chak No. 251/EB,206040305,,,,326,0,326,,,,,,
"",,,Chak No. 251/EB,206040306,,,,603,0,603,,,
"",,,,,,,,1304,0,1304,,,
"",114,"Girls Elementary. School  251/EB(Female)(P)",Chak No. 251/EB,206040304,,,,0,290,290,0,2,2
"",,,Chak No. 251/EB,206040305,,,,0,186,186,,,
"",,,Chak No. 251/EB,206040306,,,,0,434,434,,,
"",,,,,,,,0,910,910,,,
"",115,Girls Pry. School Old 251/EB(P),Chak No. 251/EB,206040307,,,,370,246,616,1,1,2
"",,,Chak No. 251/EB,206040308,,,,187,106,293,,,
"",,,,,,,,557,352,909,,,
"",116,Boys Pry. School 271/EB Male(P),Chak No. 271/EB,206040309,,,,342,0,342,2,0,2
Chak No. 271/EB,206040310,,,,426,0,426,,,,,,
Chak No. 271/EB,206040311,,,,319,0,319,,,,,,
"",,,,,1087,0,1087,,,,,,
"",117,Girls Pry. School 271/EB Female(P),Chak No. 271/EB,206040310,,,,0,310,310,0,2,2
"",,,Chak No. 271/EB,206040311,,,,0,215,215,,,
"",,,,,,,,0,801,801,,,
"",118,Girls Middle. School 285/EB (Male)(P),Chak No. 285/EB,206040501,,,,707,0,707,2,0,2
"",,,Chak No. 285/EB,206040502,,,,440,0,440,,,
"",,,,,,,,1147,0,1147,,,
"",119,Boys Pry. School 285/EB (Female)(P),Chak No. 285/EB,206040501,,,,0,471,471,0,2,2
"",,,Chak No. 285/EB,206040502,,,,0,334,334,,,
"",,,,,,,,0,805,805,,,
"",120,Boys Pry. School 289/EB (Male)(P),Chak No. 289/EB,206040503,,,,873,0,873,2,0,2
Chak No. 289/EB,206040504,,,,656,0,656,,,,,,
"",,,,,1529,0,1529,,,,,,
Chak No. 289/EB,206040503,,,,0,616,616,,,,,,
"",,,,,,,,0,1098,1098,,,
"",122,Girls High School 283/EB (Male)(P),Chak No. 283/EB,206040406,,,,381,0,381,3,0,3
"",,,Chak No. 283/EB,206040407,,,,405,0,405,,,
"",,,Chak No. 283/EB,206040408,,,,518,0,518,,,
"",,,Chak No. 283/EB,206040409,,,,517,0,517,,,
"",,,,,,,,1821,0,1821,,,
"",123,Boys Pry. School 283/EB (Female)(P),Chak No. 283/EB,206040406,,,,0,230,230,0,2,2
Chak No. 283/EB,206040407,,,,0,352,352,,,,,,
Chak No. 283/EB,206040408,,,,0,323,323,,,,,,
Chak No. 283/EB,206040409,,,,0,449,449,,,,,,
"",,,,,0,1354,1354,,,,,,
Chak No. 273/EB,206040401,,,,452,0,452,,,,,,
Chak No. 273/EB,206040402,,,,473,0,473,,,,,,
"",,,,,,,,1401,0,1401,,,
"",125,Girls High School 273/EB (Female)(P),Chak No. 273/EB,206040401,,,,0,378,378,0,2,2
"",,,Chak No. 273/EB,206040402,,,,0,374,374,,,
"",,,Chak No. 273/EB,206040403,,,,0,421,421,,,
"",,,,,,,,0,1173,1173,,,
"",126,"Boys High School 275/EB (High Block(Male)(P)",Chak No. 275/EB,206040404,,,,678,0,678,2,0,2
"",,,Chak No. 275/EB,206040405,,,,525,0,525,,,
"",,,,,,,,1203,0,1203,,,
"",127,"Boys High School 275/EB (MiddleBlock (Female)(P)",Chak No. 275/EB,206040404,,,,0,610,610,0,2,2
Chak No. 275/EB,206040405,,,,0,424,424,,,,,,
"",,,,,0,1034,1034,,,,,,
Chak No. 291/EB,206041001,,,,471,0,471,,,,,,
Chak No. 291/EB,206041002,,,,772,0,772,,,,,,
"",129,Boys High School 291/EB (Male)(P),Chak No. 291/EB,206041003,,,,541,0,541,1,0,1
"",,,Chak No. 291/EB,206041004,,,,183,0,183,,,
"",,,,,,,,724,0,724,,,
"",130,Girls High School 291/EB (Female)(P),Chak No. 291/EB,206041001,,,,0,293,293,0,2,2
"",,,Chak No. 291/EB,206041002,,,,0,513,513,,,
"",,,Chak No. 291/EB,206041003,,,,0,325,325,,,
"",,,Chak No. 291/EB,206041004,,,,0,113,113,,,
"",,,,,,,,0,1244,1244,,,
"",131,Girls Pry. School 293/EB Male(P),Chak No. 293/EB,206041005,,,,604,0,604,2,0,2
Chak No. 293/EB,206041006,,,,323,0,323,,,,,,
Chak No. 293/EB,206041007,,,,227,0,227,,,,,,
"",,,,,1154,0,1154,,,,,,
Chak No. 293/EB,206041005,,,,0,473,473,,,,,,
Chak No. 293/EB,206041006,,,,0,239,239,,,,,,
"",,,Chak No. 293/EB,206041007,,,,0,169,169,,,
"",,,,,,,,0,881,881,,,
"",133,Girls Pry. School 295/EB(P),Chak No. 295/EB,206041008,,,,358,213,571,2,1,3
"",,,Chak No. 295/EB,206041009,,,,542,392,934,,,
"",,,,,,,,900,605,1505,,,
"",134,Girls Middle School 281/EB(P),Chak No. 281/EB,206040610,,,,429,309,738,1,1,2
"",,,Chak No. 281/EB,206040611,,,,238,159,397,,,
"",,,,,,,,667,468,1135,,,
"",135,Girls Pry. School 279/EB (Male)(P),Chak No. 279/EB,206040605,,,,694,0,694,2,0,2
Chak No. 279/EB,206040606,,,,274,0,274,,,,,,
"",,,,,968,0,968,,,,,,
Chak No. 279/EB,206040607,,,,438,0,438,,,,,,
Chak No. 279/EB,206040608,,,,99,0,99,,,,,,
"",,,Chak No. 279/EB,206040612,,,,106,0,106,,,
"",,,,,,,,888,0,888,,,
"",137,Boys Pry. School 279/EB (Female)(P),Chak No. 279/EB,206040606,,,,0,181,181,0,2,2
"",,,Chak No. 279/EB,206040607,,,,0,330,330,,,
"",,,Chak No. 279/EB,206040608,,,,0,70,70,,,
"",,,Chak No. 279/EB,206040609,,,,0,160,160,,,
"",,,Chak No. 279/EB,206040612,,,,0,79,79,,,
"",,,,,,,,,820,820,,,
"",138,Boys Pry School 277/EB(P),Chak No. 277/EB,206040601,,,,303,249,552,1,1,2
Chak No. 277/EB,206040602,,,,457,337,794,,,,,,
"",,,,,760,586,1346,,,,,,
Chak No. 277/EB,206040603,,,,260,170,430,,,,,,
Chak No. 277/EB,206040604,,,,233,165,398,,,,,,
"",140,"Boys High School High Portion DadJamlera (Male)(P)",Dad Jamlera,206040804,,,,328,0,328,2,0,2
"",,,Dad Jamlera,206040805,,,,62,0,62,,,
"",,,Dad Jamlera,206040806,,,,563,0,563,,,
"",,,Dad Jamlera,206040807,,,,172,0,172,,,
"",,,Dad Jamlera,206040808,,,,211,0,211,,,
"",,,,,,,,1336,0,1336,,,
"",141,Girls High School Nushera Jamlera(P),Dad Jamlera,206040802,,,,303,207,510,1,1,2
"",,,Dad Jamlera,206040803,,,,396,309,705,,,
"",,,,,,,,699,516,1215,,,
"",142,Girls High School Nushera Jamlera(P),Dad Jamlera,206040801,,,,461,357,818,1,1,2
"",,,,,461,357,818,,,,,,
Dad Jamlera,206040804,,,,0,277,277,,,,,,
Dad Jamlera,206040805,,,,0,42,42,,,,,,
Dad Jamlera,206040806,,,,0,382,382,,,,,,
"",,Jamlera (Female)(P),Dad Jamlera,206040807,,,,0,168,168,,,
"",,,Dad Jamlera,206040808,,,,0,177,177,,,
"",,,,,,,,0,1046,1046,,,
"",144,Boys  Pry. School Lakhukey Kalan(P),Kot Thuraj,206040711,,,,63,38,101,1,1,2
"",,,Lakhukey Kalan,2  0  6  0  4   0  9  0  2,,,,264,178,442,,,
"",,,Lakhukey Kalan,2  0  6  0  4   0  9  0  3,,,,437,395,832,,,
"",,,,,,,,764,611,1375,,,
"",145,Boys Pry. School Balara Jamlera(P),Balara Jamlera,206040904,,,,351,299,650,1,1,2
"",,,Rakh Jamlera,206040905,,,,296,183,479,,,
"",,,,,,,,647,482,1129,,,
"",146,Girls Pry . School 39/KB(P),Chak No. 39/KB,206040901,,,,437,350,787,1,1,2
"",,,,,437,350,787,,,,,,
Chak No. 36/KB,206040706,,,,183,0,183,,,,,,
"",147,Boys Pry. School 36/KB (Male)(P),Chak No. 36/KB,206040708,,,,173,0,173,2,0,2
"",,,Chak No. 36/KB,206040709,,,,369,0,369,,,
"",,,,,,,,1295,0,1295,,,
"",148,Girls Pry . School 36/KB (Female),Chak No. 36/KB,206040706,,,,0,159,159,0,2,2
"",,,Chak No. 36/KB,206040707,,,,0,448,448,,,
"",,,Chak No. 36/KB,206040708,,,,0,113,113,,,
