"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
73,"Govt. Girls Primary School,MohraBhattian.(combined)(P)",سوہاوہ مرزا,121021008,-,-,,740,659,"1,399",0,0,0
Total,,,,,,,740,659,"1,399",2,1,3
74,"Govt. Girls Primary School,MalikPur.(combined)(P)",ممدوٹ,121021001,-,-,,0,0,0,0,0,0
"",,ملک پور,121021003,-,-,,480,410,890,0,0,0
Total,,,,,,,480,410,890,1,1,2
75,"Govt. Girls Primary School,MalikPur.(combined)(P)",ملک پور,121021004,-,-,,754,728,"1,482",0,0,0
76,"Govt. Girls Primary School,BuniarKaswal.(combined)(P)",بھنیر کسوال,121020703,-,-,,755,701,"1,456",0,0,0
Total,,,,,,,755,701,"1,456",2,2,4
77,"Govt. Girls PrimarySchool,Bewal.(Combined) (P)",بیول,121020801,-,-,,727,668,"1,395",0,0,0
Total,,,,,,,727,668,"1,395",2,1,3
78,"Govt. Girls HighSchool,Bewal.(Combined)(P)",بیول,121020802,-,-,,259,249,508,0,0,0
"",,بیول,121020803,-,-,,783,834,"1,617",0,0,0
Total,,,,,,,"1,042","1,083","2,125",2,2,4
79,"Govt. Boys Sec. School,Bewal.(Male)(P)",ہفیال,121020901,-,-,,563,0,563,0,0,0
"",,ہفیال,121020902,-,-,,577,0,577,0,0,0
"",,ہفیال,121020903,-,-,,257,0,257,0,0,0
Total,,,,,,,"1,397",0,"1,397",2,0,2
80,"Govt. Boys Sec. School,Bewal.(Female)(P)",ہفیال,121020901,-,-,,0,493,493,0,0,0
"",,ہفیال,121020903,-,-,,0,242,242,0,0,0
"",,ہفیال,121020902,-,-,,0,536,536,0,0,0
Total,,,,,,,0,"1,271","1,271",0,2,2
81,"Govt. Boys PrimarySchool,Dhamial.(combined)(P)",دھمیال,121020804,-,-,,516,505,"1,021",0,0,0
Total,,,,,,,516,505,"1,021",1,1,2
82,"Govt. Boys PrimarySchool,Dhamial.(combined)(P)",دھمیال,121020805,-,-,,476,428,904,0,0,0
Total,,,,,,,476,428,904,1,1,2
83,"Govt. Boys MiddleSchool,Manjotha.(combined)(P)",مجوٹھہ,121020701,-,-,,716,695,"1,411",0,0,0
"",,مجوٹھہ,121020702,-,-,,338,342,680,0,0,0
"",,اراضی کرک,121020704,-,-,,58,46,104,0,0,0
Total,,,,,,,"1,112","1,083","2,195",2,2,4
84,"Govt. Boys PrimarySchool,Goleen.(combined)(P)",گولین,121020904,-,-,,471,482,953,0,0,0
"",,گولین,121020905,-,-,,405,402,807,0,0,0
Total,,,,,,,876,884,"1,760",2,2,4
85,"Govt. Boys Primary School,SuiHafiz..(combined)(P)",سوہی حافظ,121020806,-,-,,576,529,"1,105",0,0,0
"",,سوہی حافظ,121020807,-,-,,491,458,949,0,0,0
Total,,,,,,,"1,067",987,"2,054",2,2,4
86,"Govt. Boys Primary School,Dera Kaniall.(combined) (P)",کنیال,121020906,-,-,,510,454,964,0,0,0
Total,,,,,,,510,454,964,1,1,2
87,"Govt. Girls Primary School,Dera Kanial(combined) (P)",کنیال,121020907,-,-,,"1,236","1,278","2,514",0,0,0
Total,,,,,,,"1,236","1,278","2,514",2,2,4
88,"Govt.Boys PrimarySchool,Sangni.(Male)(P)",سنگنی,121020307,-,-,,750,0,750,0,0,0
Total,,,,,,,750,0,750,2,0,2
Total,,,,,,,0,684,"1,434",0,1,1
90,"Govt. Boys Middle School,SuiCheemian..(combined)(P)",سوئی چیمیاں,121020304,-,-,,535,532,"1,067",0,0,0
Total,,,,,,,535,532,"1,067",1,1,2
91,"Govt. Boys Middle School,SuiCheemian..(combined)(P)",چھپر,121020306,-,-,,230,194,424,0,0,0
"",,سوئی چیمیاں,121020305,-,-,,751,615,"1,366",0,0,0
Total,,,,,,,981,809,"1,790",2,2,4
92,"Govt. Girls Elementary School, DhokChulo Chakrale (Male)(P)",مانکرائے,121020206,-,-,,488,0,488,0,0,0
"",,چکڑالی چلو,121020205,-,-,,558,0,558,0,0,0
"",,چکڑالی چلو,121020204,-,-,,378,0,378,0,0,0
Total,,,,,,,"1,424",0,"1,424",3,0,3
93,"Govt. Girls Primary School, Dhok ChuloChakrale (Female)(P)",مانکرائے,121020206,-,-,,0,504,504,0,0,0
"",,چکڑالی چلو,121020205,-,-,,0,516,516,0,0,0
"",,چکڑالی چلو,121020204,-,-,,0,381,381,0,0,0
Total,,,,,,,0,"1,401","1,401",0,3,3
94,"Govt. Boys Primary School,ChakraleBadhal.(Male)(P)",چکڑالی بدہال,121020301,-,-,,626,0,626,0,0,0
"",,چکڑالی بدہال,121020302,-,-,,853,0,853,0,0,0
"",,چکڑالی بدہال,121020303,-,-,,121,0,121,0,0,0
Total,,,,,,,"1,600",0,"1,600",3,0,3
95,"Govt. Girls Middle School,ChakraleBadhal.(Female)(P)",چکڑالی بدہال,121020301,-,-,,0,577,"1,203",0,0,0
"",,چکڑالی بدہال,121020302,-,-,,0,859,"1,712",0,0,0
"",,چکڑالی بدہال,121020303,-,-,,0,97,218,0,0,0
Total,,,,,,,0,1533,3133,0,3,3
96,"Govt. Boys Primary School,MohraNagial.(Male)(P)",میراشمس,121020201,-,-,,319,0,319,0,0,0
"",,میراشمس,121020202,-,-,,889,0,889,0,0,0
Total,,,,,,,"1,208",0,"1,208",2,0,2
97,"Govt. Girls Primary School,MohraNagial.(Female)(P)",میراشمس,121020201,-,-,,0,332,651,0,0,0
"",,میراشمس,121020202,-,-,,0,838,"1,727",0,0,0
Total,,,,,,,0,"1,170","2,378",0,2,2
98,"Govt. Boys High School,Mirza Kambele.(combined)(P)",کمیلی مرزا,121020106,-,-,,268,223,491,0,0,0
"",,کمیلی مرزا,121020107,-,-,,420,382,802,0,0,0
Total,,,,,,,688,605,"1,293",1,1,2
99,"Govt. Girls Primary School,MohraBhattian.(combined)(P)",تل خالصہ,121020101,-,-,,463,429,892,0,0,0
Total,,,,,,,463,429,892,1,1,2
100,"Got. Girls Elementary School,Tal Khalsa.(Combined)(P)",تل خالصہ,121020102,-,-,,359,317,676,0,0,0
"",,تل خالصہ,121020103,-,-,,649,612,"1,261",0,0,0
Total,,,,,,,"1,008",929,"1,937",2,2,4
"اراضی چوہڑمل",121020104,-,-,,484,427,911,0,0,0,,
Total,,,,,,,798,709,"1,507",2,2,4
102,"Govt. Boys Primary School, Bagh Sana.(Combined)(P)",بھاگسانہ,121020108,-,-,,312,251,563,0,0,0
Total,,,,,,,312,251,563,1,1,2
103,"Maktab School Darbar Baba ShaheedMara Shamas.( Combined)(P)",میراشمس,121020203,-,-,,639,614,"1,253",0,0,0
Total,,,,,,,639,614,"1,253",1,1,2
104,"Govt. Boys Middle School,ChangaBangial.(Male)(P)",چنگا بنگیال,121020501,-,-,,549,0,549,0,0,0
"",,چنگا بنگیال,121020502,-,-,,582,0,582,0,0,0
Total,,,,,,,"1,131",0,"1,131",2,0,2
105,"Govt. Boys Middle School,ChangaBangial.(Male)(P)",چنگا بنگیال,121020503,-,-,,73,0,73,0,0,0
"",,چنگا بنگیال,121020504,-,-,,310,0,310,0,0,0
"",,چنگا بنگیال,121020505,-,-,,413,0,413,0,0,0
Total,,,,,,,796,0,796,2,0,2
106,"Govt. Girls Middle School,ChangaBangial. (Female)(P)",چنگا بنگیال,121020501,-,-,,0,555,555,0,0,0
"",,چنگا بنگیال,121020502,-,-,,0,579,579,0,0,0
Total,,,,,,,0,"1,134","1,134",0,2,2
107,"Govt. Girls Middle School,ChangaBangial. (Female)(P)",چنگا بنگیال,121020503,-,-,,0,63,63,0,0,0
"",,چنگا بنگیال,121020504,-,-,,0,280,280,0,0,0
"",,چنگا بنگیال,121020505,-,-,,0,344,344,0,0,0
Total,,,,,,,0,687,687,0,1,1
108,"Govt. Boys High School,Changa Mera.(Combined)(P)",چنگا بنگیال,121020506,-,-,,192,179,371,0,0,0
"",,چنگا بنگیال,121020507,-,-,,165,164,329,0,0,0
"",,چنگا بنگیال,121020508,-,-,,165,152,317,0,0,0
"",,کور نصیب,121020509,-,-,,179,176,355,0,0,0
Total,,,,,,,701,671,"1,372",2,1,3
109,"Govt. Boys High School,DharhialaSaghan.( Combined)(P)",دریالہ سیگن,121020405,-,-,,611,564,"1,175",0,0,0
"",,دریالہ سیگن,121020406,-,-,,208,195,403,0,0,0
"",,دریالہ سیگن,121020407,-,-,,250,228,478,0,0,0
Total,,,,,,,"1,069",987,"2,056",2,2,4
110,"Govt. Girls Primary  School,Narali Jabair. ((Male)(P))",نڑالی جبیر,121020401,-,-,,378,0,378,0,0,0
"",,نڑالی جبیر,121020402,-,-,,329,0,329,0,0,0
"",,نڑالی جبیر,121020403,-,-,,346,0,346,0,0,0
"",,نڑالی جبیر,121020404,-,-,,551,0,551,0,0,0
Total,,,,,,,"1,604",0,"1,604",3,0,3
111,"Govt. Boys  Primary School,NaraliJabair.(Female)(P)",نڑالی جبیر,121020401,-,-,,0,386,386,0,0,0
"",,نڑالی جبیر,121020402,-,-,,0,288,288,0,0,0
"",,نڑالی جبیر,121020403,-,-,,0,263,263,0,0,0
"",,نڑالی جبیر,121020404,-,-,,0,501,501,0,0,0
Total,,,,,,,0,1438,1438,0,3,3
"نڑالی کسواں",121020408,-,-,,427,353,780,0,0,0,,
Total,,,,,,,"1,060",915,"1,975",2,2,4
113,"Govt. Boys Primary School,MalAwan.(combined)(P)",مل آرائیں,121020510,-,-,,606,560,"1,166",0,0,0
"",,ہرڑ,121020511,-,-,,163,162,325,0,0,0
Total,,,,,,,769,722,"1,491",2,2,4
114,"Govt. Boys High School,Qazian.(Male)(P)",قاضی چھوٹا,121020601,-,-,,"1,079",0,"1,079",0,0,0
Total,,,,,,,"1,079",0,"1,079",2,0,2
115,"Govt. Boys High School,Qazian.(Male)(P)",قاضی جھیک,121020602,-,-,,176,0,176,0,0,0
"",,جیک قادر بخش,121020603,-,-,,378,0,378,0,0,0
Total,,,,,,,554,0,554,1,0,1
116,"Govt. Girls High School,Qazian.(Female)(P))",قاضی چھوٹا,121020601,-,-,,0,"1,040","1,040",0,0,0
Total,,,,,,,0,"1,040","1,040",0,2,2
117,"Govt. Girls High School,Qazian.(Female)(P))",قاضی جھیک,121020602,-,-,,,137,137,0,0,0
"",,جیک قادر بخش,121020603,-,-,,,361,361,0,0,0
Total,,,,,,,,498,498,0,1,1
118,"Govt. Boys Primary School,DhokPalahi.(combined)(P)",روکھیاہ,121020605,-,-,,602,537,"1,139",0,0,0
"",,روکھیاہ,121020606,-,-,,404,353,757,0,0,0
Total,,,,,,,"1,006",890,"1,896",2,2,4
119,"Govt. Boys Middle School,MianiDheri.(combined)(P)",جگا پیکا,121020604,-,-,,184,163,347,0,0,0
"",,میانی ڈھیری,121030402,-,-,,731,617,"1,348",0,0,0
Total,,,,,,,915,780,"1,695",2,2,4
120,"Govt. Boys HighSchool,Badhana.(Male)(P)",بھڈانہ,121030101,-,-,,"1,300",0,"1,300",0,0,0
Total,,,,,,,"1,300",0,"1,300",2,0,2
121,"Govt. Girls MiddleSchool,Badana.(Female)(P)",بھڈانہ,121030101,-,-,,0,"1,301","2,601",0,0,0
Total,,,,,,,0,"1,301","2,601",0,2,2
122,"Govt. Boys MiddleSchool,Ratalla.(Male)(P)",رتالہ,121030601,-,-,,691,0,691,0,0,0
Total,,,,,,,691,0,691,1,0,1
123,"Govt. Boys MiddleSchool,Ratalla.(Male)(P)",رتالہ,121030602,-,-,,534,0,534,0,0,0
"",,پلتیام,121030603,-,-,,206,0,206,0,0,0
"",,گوپال پور,121030604,-,-,,32,0,32,0,0,0
Total,,,,,,,772,0,772,2,0,2
124,"Govt. Girls MiddleSchool,Rattala.(Female)(P)",رتالہ,121030601,-,-,,0,656,"1,347",0,0,0
Total,,,,,,,0,656,"1,347",0,1,1
125,"Govt. Girls MiddleSchool,Rattala.(Female)(P)",رتالہ,121030602,-,-,,0,479,479,0,0,0
"",,پلتیام,121030603,-,-,,0,179,179,0,0,0
"",,گوپال پور,121030604,-,-,,0,32,32,0,0,0
Total,,,,,,,0,690,690,0,1,1
126,Combined)(P),میانی بورگی,121030404,-,-,,627,584,"1,211",0,0,0
"",,حاجی بورگی,121030405,-,-,,182,148,330,0,0,0
Total,,,,,,,"1,225","1,118","2,343",2,2,4
127,"Govt. Boys Primary School,Borgi KaramChand.(combined)(P)",بورگی کرم چند,121030605,-,-,,45,48,93,0,0,0
"",,بورگی کرم چند,121030606,-,-,,902,837,"1,739",0,0,0
Total,,,,,,,947,885,"1,832",2,2,4
128,"Govt. Girls Middle School Dang DevIsran,Dhok Hashu.(Female)(P)",دھنگدیو اسیراں,121030301,-,-,,0,487,487,0,0,0
Total,,,,,,,0,487,487,0,1,1
129,"Govt. Girls Middle School Dang DevIsran,Dhok Hashu.(Female)(P)",دھنگدیو اسیراں,121030302,-,-,,0,822,822,0,0,0
Total,,,,,,,0,822,822,0,2,2
130,"Govt. Boys Middle School, Dang DevIsran.(Male)(P)",دھنگدیو اسیراں,121030301,-,-,,554,0,554,0,0,0
"",,دھنگدیو اسیراں,121030302,-,-,,915,0,915,0,0,0
Total,,,,,,,"1,469",0,"1,469",3,0,3
131,"Govt. Girls Primary School,Dhang DevSaydan.(combined)(P)",دھنگدیو گوجر مل,121030304,-,-,,449,418,867,0,0,0
Total,,,,,,,449,418,867,1,1,2
132,"Govt. Girls PrimarySchool,Punjgran.(combined)(P)",پنجگراں,121030401,-,-,,539,492,"1,031",0,0,0
"",,ڈہوک سلطان عالم,121030303,-,-,,52,58,110,0,0,0
Total,,,,,,,591,550,"1,141",1,1,2
133,"Govt. Boys High School,JandNajar.(Male)(P)",جنڈ نجار,121030203,-,-,,430,0,430,0,0,0
"",,جنڈ نجار,121030204,-,-,,471,0,471,0,0,0
"",,جنڈ نجار,121030205,-,-,,512,0,512,0,0,0
Total,,,,,,,"1,413",0,"1,413",3,0,3
134,"Govt. Girls High School,JandNajar.(Female)(P)",جنڈ نجار,121030203,-,-,,0,400,400,0,0,0
"",,جنڈ نجار,121030204,-,-,,0,406,406,0,0,0
"",,جنڈ نجار,121030205,-,-,,0,499,499,0,0,0
Total,,,,,,,0,1305,1305,0,2,2
135,"Govt. Boys Primary School,JandGujar.(combined)(P)",جنڈ گوجر,121030214,-,-,,507,474,981,0,0,0
"",,جنڈ گوجر,121030215,-,-,,390,337,727,0,0,0
Total,,,,,,,897,811,"1,708",2,2,4
136,"Govt. Boys Primary School,KuriSarfraz.(combined)(P)",ملالہ,121030208,-,-,,487,442,929,0,0,0
"",,کوری سرفراز,121030209,-,-,,164,147,311,0,0,0
Total,,,,,,,651,589,"1,240",1,1,2
137,"Govt. Boys Primary School,KuriSarfraz.(combined)(P)",کوری حیدر,121030210,-,-,,260,228,488,0,0,0
"",,کوری ھزارو,121030211,-,-,,129,112,241,0,0,0
"",,کوری ججوال,121030212,-,-,,115,94,209,0,0,0
"",,کوری کریم بخش,121030213,-,-,,87,83,170,0,0,0
Total,,,,,,,591,517,"1,108",1,1,2
"بھٹیاں",121030103,-,-,,679,608,"1,287",0,0,0,,
Total,,,,,,,829,732,"1,561",2,2,4
139,"Govt. Girls HighSchool,Bagana.(combined)(P)",بھگانہ,121030102,-,-,,382,358,740,0,0,0
"",,اراضی ڈھڈی,121030206,-,-,,81,69,150,0,0,0
"",,اراضی بورہ,121030207,-,-,,40,48,88,0,0,0
Total,,,,,,,503,475,978,1,1,2
140,"Govt. Girls HighSchool,Bagana.(combined)(P)",گوجرہ,121030106,-,-,,252,223,475,0,0,0
"",,مطوعہ گوجر,121030109,-,-,,310,300,610,0,0,0
Total,,,,,,,562,523,"1,085",1,1,2
141,"Govt. Boys Primary School, PuranaBhagpur.(combined)(P)",عارف کنیال,121030104,-,-,,183,165,348,0,0,0
"",,بھاگپور,121030107,-,-,,441,398,839,0,0,0
"",,پکا خانپور,121030108,-,-,,431,401,832,0,0,0
Total,,,,,,,"1,055",964,"2,019",2,2,4
142,"Govt. Primary School,DhokTehsildar.(combined)(P)",جنڈ نجار,121030201,-,-,,587,543,"1,130",0,0,0
Total,,,,,,,587,543,"1,130",1,1,2
143,"Govt. Primary School,DhokTehsildar.(combined)(P)",جنڈ نجار,121030202,-,-,,829,774,"1,603",0,0,0
Total,,,,,,,829,774,"1,603",2,2,4
144,"Govt. Middle School,JandMehlu.(combined)(P)",جنڈ مہلو,121030501,-,-,,659,625,"1,284",0,0,0
"",,جنڈ مہلو,121030502,-,-,,335,315,650,0,0,0
Total,,,,,,,994,940,"1,934",2,2,4
145,"Govt. PrimarySchool,Jhamath.(combined)(P)",جماٹھ,121030503,-,-,,526,523,"1,049",0,0,0
Total,,,,,,,526,523,"1,049",1,1,2
146,"Govt. Primary School,JaboKasi.(combined)(P)",جبو کسی,121030507,-,-,,541,475,"1,016",0,0,0
"",,جبو کسی,121030508,-,-,,185,188,373,0,0,0
Total,,,,,,,726,663,"1,389",2,1,3
147,"Govt. PrimarySchool,Romtay.(combined)(P)",رونگٹے,121030506,-,-,,526,436,962,0,0,0
Total,,,,,,,526,436,962,1,1,2
148,"Govt.Primary School JatalSurkhroo.(combined)(P)",جٹال سرخرو,121030504,-,-,,210,182,392,0,0,0
"",,جٹال دراب,121030505,-,-,,328,289,617,0,0,0
Total,,,,,,,538,471,"1,009",1,1,2
149,"Govt. Girls PrimarySchool,Aheer.(combined)(P)",آہیر,121040103,-,-,,522,429,951,0,0,0
"",,آہیر,121040104,-,-,,699,569,"1,268",0,0,0
Total,,,,,,,"1,221",998,"2,219",2,2,4
150,"Govt. Girls PrimarySchool,Aheer.(combined)(P)",متیال,121040206,-,-,,239,207,446,0,0,0
Total,,,,,,,239,207,446,1,1,2
151,"Govt. Boys High School,MissaKaswal.(combined)(P)",مسہ کسوال,121040201,-,-,,707,589,"1,296",0,0,0
"مسہ کسوال",121040207,-,-,,43,56,99,0,0,0,,
"مسہ کسوال",121040202,-,-,,326,274,600,0,0,0,,
152,"Govt. Boys Middle School Bhai Khan(Male)(P)",بھائی خان,121040203,-,-,,554,0,554,0,0,0
"",,بھائی خان,121040204,-,-,,445,0,445,0,0,0
"",,بھائی خان,121040205,-,-,,320,0,320,0,0,0
Total,,,,,,,"1,319",0,"1,319",2,0,2
153,"Govt. Boys Middle School Bhai Khan(Female)(P)",بھائی خان,121040203,-,-,,0,531,531,0,0,0
"",,بھائی خان,121040204,-,-,,0,390,390,0,0,0
"",,بھائی خان,121040205,-,-,,0,248,248,0,0,0
Total,,,,,,,0,"1,169","1,169",0,2,2
154,"Govt.Boys Primary School NagialPahlwan (combined)(P)",نگایل پہلوان,121040105,-,-,,451,395,846,0,0,0
"",,پنڈوڑہ,121040102,-,-,,312,268,580,0,0,0
Total,,,,,,,763,663,"1,426",2,1,3
155,"Govt. Girls Primary School Halian(combined)(P)",موہڑہ حیلی /نگائے پہلوان,121040101,-,-,,500,440,940,0,0,0
Total,,,,,,,500,440,940,1,1,2
156,"Govt. Boys High School Jero Ratial(combined)(P)",جیرو رتیال,121040301,-,-,,519,459,978,0,0,0
Total,,,,,,,519,459,978,1,1,2
157,"Govt. Boys High School Jero Ratial(combined)(P)",جیرو رتیال,121040302,-,-,,325,291,616,0,0,0
Total,,,,,,,325,291,616,1,1,2
158,"Govt. Girls Primary School Jero Ratial(combined)(P)",جیرو رتیال,121040303,-,-,,606,521,"1,127",0,0,0
"",,جیرو رتیال,121040304,-,-,,235,236,471,0,0,0
Total,,,,,,,841,757,"1,598",2,2,4
159,"Govt. Girls Primary School Ludhar(combined)(P)",جیرو رتیال,121040305,-,-,,549,503,"1,052",0,0,0
Total,,,,,,,549,503,"1,052",1,1,2
160,"Govt. Girls Primary School Ludhar(combined)(P)",جیرو رتیال,121040306,-,-,,455,420,875,0,0,0
"",,پڑہال,121040307,-,-,,115,91,206,0,0,0
Total,,,,,,,570,511,"1,081",1,1,2
161,"Govt. Girls Primary School JarmootKalan(combined)(P)",جرموٹ کلاں,121040604,-,-,,886,804,"1,690",0,0,0
Total,,,,,,,886,804,"1,690",2,2,4
162,"Govt. Girls Primary School,JermotKalan.(combined)(P)",جرموٹ کلاں,121040603,-,-,,270,264,534,0,0,0
Total,,,,,,,270,264,534,1,1,2
163,"Govt. Girls High School,MohraBurj.(combined)(P)",جرموٹ خورد,121040704,-,-,,167,149,316,0,0,0
"",,جرموٹ خورد,121040705,-,-,,451,451,902,0,0,0
Total,,,,,,,618,600,"1,218",1,1,2
164,"Govt. Boys High School,DoraBudhal.(combined)(P)",ڈورہ بدہال,121040401,-,-,,433,418,851,0,0,0
"",,ڈورہ بدہال,121040405,-,-,,286,241,527,0,0,0
Total,,,,,,,719,659,"1,378",2,1,3
Total,,,,,,,628,529,"1,157",1,1,2
166,"Govt. Girls Elementary School,DoraBudhal.(combined)(P)",ڈورہ بدہال,121040404,-,-,,316,273,589,0,0,0
"",,ڈورہ بدہال,121040402,-,-,,272,233,505,0,0,0
Total,,,,,,,588,506,"1,094",1,1,2
167,"Govt. Boys High School,Kaial Dara.(Male)(P)",کیال دارہ,121040701,-,-,,463,0,463,0,0,0
"",,کیال دارہ,121040702,-,-,,367,0,367,0,0,0
"",,کیال دارہ,121040703,-,-,,259,0,259,0,0,0
Total,,,,,,,"1,089",0,"1,089",2,0,2
168,"Govt. Boys High School,DaraKoliyal.(Female)(P)",کیال دارہ,121040701,-,-,,0,409,872,0,0,0
"",,کیال دارہ,121040702,-,-,,0,347,714,0,0,0
"",,کیال دارہ,121040703,-,-,,0,227,486,0,0,0
Total,,,,,,,0,983,"2,072",0,2,2
169,"Govt. Boys Primary School,Khala Butt.(combined)(P)",کھلابٹ,121040706,-,-,,461,418,879,0,0,0
Total,,,,,,,461,418,879,1,1,2
170,"Basic Health Unit,Kountrilla.(combined)(P)",کوہلی حمید,121040801,-,-,,219,220,439,0,0,0
"",,موہڑہ شیخاں,121040802,-,-,,244,218,462,0,0,0
Total,,,,,,,463,438,901,1,1,2
171,"Govt. Boys PrimarySchool,Kountrilla.(Male)(P)",کونتریلہ,121040803,-,-,,776,0,776,0,0,0
Total,,,,,,,776,0,776,2,0,2
172,"Union CouncilOffice,Kountrilla.(Female)(P)",کونتریلہ,121040803,-,-,,0,735,"1,511",0,0,0
Total,,,,,,,0,735,"1,511",0,2,2
173,"Govt. Middle School, Mohra Jarian(combined)(P)",کونتریلہ,121040804,-,-,,357,347,704,0,0,0
Total,,,,,,,357,347,704,1,1,2
174,"Govt. Boys Primary School,MoriDolchial.(combined)(P)",کونتریلہ,121040811,-,-,,"1,021",969,"1,990",0,0,0
Total,,,,,,,"1,021",969,"1,990",2,2,4
175,"Govt. Boys HighSchool,Kountrilla.(Male)(P)",کونتریلہ,121040806,-,-,,225,0,225,0,0,0
"",,کونتریلہ,121040807,-,-,,364,0,364,0,0,0
"",,کونتریلہ,121040808,-,-,,301,0,301,0,0,0
"",,کونتریلہ,121040810,-,-,,340,0,340,0,0,0
"",,کونتریلہ,121040805,-,-,,249,0,249,0,0,0
Total,,,,,,,"1,479",0,"1,479",3,0,3
176,"Govt Girls Primary School Mohara Mahire(Combined)",کونتریلہ,121040809,-,-,,624,529,"1,153",0,0,0
Total,,,,,,,624,529,"1,153",1,1,2
"کونتریلہ",121040806,-,-,,0,245,245,0,0,0,,
"کونتریلہ",121040807,-,-,,0,318,318,0,0,0,,
"کونتریلہ",121040808,-,-,,0,296,296,0,0,0,,
"",,کونتریلہ,121040805,-,-,,0,232,232,0,0,0
Total,,,,,,,0,1447,1447,0,3,3
178,"Govt. Boys Primary  School,KharaliKhanger.(combined)(P)",کھرالی,121040901,-,-,,684,695,"1,379",0,0,0
Total,,,,,,,684,695,"1,379",1,1,2
179,"Govt. Boys Primary School,KharaliJattan.(combined)(P)",کھرالی,121040902,-,-,,555,525,"1,080",0,0,0
Total,,,,,,,555,525,"1,080",1,1,2
180,"Govt.Boys Primary School, IshalKhanger.(combined)(P)",حسال کھینگر,121040503,-,-,,201,179,380,0,0,0
"",,حسال کھینگر,121040504,-,-,,257,196,453,0,0,0
Total,,,,,,,458,375,833,1,1,2
181,"Govt. Boys Primary School,MohriBarsal.(combined)(P)",موہری برسال,121040505,-,-,,390,313,703,0,0,0
"",,موہری برسال,121040506,-,-,,208,163,371,0,0,0
Total,,,,,,,598,476,"1,074",1,1,2
182,"Govt. Girls Primary School,MohriKathrail.(combined)(P)",موہری کتھڑیل,121040507,-,-,,436,388,824,0,0,0
"",,موہری کتھڑیل,121040508,-,-,,347,295,642,0,0,0
Total,,,,,,,783,683,"1,466",2,1,3
183,"Govt. Girls Primary School,IshalKhinger.(combined)(P)",دوکوہلی,121040502,-,-,,318,316,634,0,0,0
"",,ڈولیاں میانہ,121040501,-,-,,137,109,246,0,0,0
"",,غریبا,121040509,-,-,,165,127,292,0,0,0
Total,,,,,,,620,552,"1,172",1,1,2
184,"Govt. Boys Primary School,DarialaKhaki.(combined)(P)",دہریالہ خاکی,121040406,-,-,,320,251,571,0,0,0
"",,دہریالہ خاکی,121040407,-,-,,613,569,"1,182",0,0,0
Total,,,,,,,933,820,"1,753",2,2,4
185,"Govt. Girls Primary School,KhingerMumdal (Male)(P)",ممدال کھینگر,121040601,-,-,,475,0,475,0,0,0
"",,ممدال کھینگر,121040602,-,-,,514,0,514,0,0,0
Total,,,,,,,989,0,989,2,0,2
186,"Govt. Boys Primary School,KhingerMumdal.(Female)(P)",ممدال کھینگر,121040601,-,-,,0,452,927,0,0,0
