"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
245,"Government Model Primary SchoolRehmat Abad (Combined)",RAMKE,164020905,,351,279,630,2,2,4
"",,"RAHMAT ABAD(RAM GARH)",164020906,,551,484,1035,,,
"",,,,,902,763,1665,,,
246,"Government Model Primary SchoolMachike Sindhwan (Combined)","MachikeySandhwan",164021001,,644,428,1072,2,2,4
"",,Uppal Jageer,164021002,,421,323,744,,,
"",,,,,1065,751,1816,,,
247,"Government Model Primary SchoolBudhu Pur (Bilal Pur) (Combined)","Budhu Pur (BilalPur)",164021003,,632,459,1091,1,1,2
"",,,,,632,459,1091,,,
248,"Government Primary School ChakRehan (Combined)",Chak Rehan,164021004,,722,501,1223,1,1,2
"",,,,,722,501,1223,,,
249,"Government Model Primary SchoolDoulowali (Combined)",Doulowali Abad,164021005,,430,285,715,1,1,2
"",,Kot Des Raj,164021006,,286,190,476,,,
"",,,,,716,475,1191,,,
250,"Government Girls High SchoolAmeen Pur Saidan (Combined)",Doulowali Viran,164021007,,265,174,439,2,2,4
"",,Ameen Pur,164021101,,497,371,868,,,
"",,Taraonian,164021103,,410,271,681,,,
"",,,,,1172,816,1988,,,
251,"Government Elementry SchoolDouburji Bhaga (Combined)",Douburji,164021102,,534,364,898,1,1,2
"",,,,,534,364,898,,,
252,"Government Girls ElementrySchool Dherowali (Combined)",Dheer Wali,164021104,,590,408,998,2,1,3
"",,Dheer Wali,164021105,,327,295,622,,,
"",,,,,917,703,1620,,,
253,"Government Boys Primary SchoolChak Muslim (Male)","QILA MALLASINGH",164030401,,461,0,461,3,0,3
"",,CHAK MUSLIM,164030402,,660,0,660,,,
"",,CHAK MUSLIM,164030403,,658,0,658,,,
"",,,,,1779,0,1779,,,
254,"Government Girls ElementrySchool Chak Muslim (Female)","QILA MALLASINGH",164030401,,0,329,329,0,3,3
"",,CHAK MUSLIM,164030402,,0,572,572,,,
"",,CHAK MUSLIM,164030403,,0,535,535,,,
"",,,,,0,1436,1436,,,
255,"Government Boys ElementrySchool Sansra Goraya (Male)","SAINSARAGORAYA",164030411,,219,0,219,3,0,3
"SAINSARAGORAYA",164030412,,178,0,178,,,,,
"SAINSARAGORAYA",164030413,,1188,0,1188,,,,,
"",,,1585,0,1585,,,,,
1,2,3,4,5,6,7,8,9,10,11
256,"Government Girls High SchoolSansra Goraya (Female)","SAINSARAGORAYA",164030411,,0,214,214,0,2,2
"",,"SAINSARAGORAYA",164030412,,0,150,150,,,
"",,"SAINSARAGORAYA",164030413,,0,795,795,,,
"",,,,,0,1159,1159,,,
257,"Government Boys ElementrySchool Sansra Goraya (Male)","SAINSARAGORAYA",164030414,,585,0,585,3,0,3
"",,"SAINSARAGORAYA",164030419,,243,0,243,,,
"",,"SAINSARAGORAYA",164030420,,170,0,170,,,
"",,"SAINSARAGORAYA",164030421,,239,0,239,,,
"",,"SAINSARAGORAYA",164030431,,193,0,193,,,
"",,,,,1430,0,1430,,,
258,"Government Girls High SchoolSansra Goraya (Female)","SAINSARAGORAYA",164030414,,0,516,516,0,3,3
"",,"SAINSARAGORAYA",164030419,,0,213,213,,,
"",,"SAINSARAGORAYA",164030420,,0,144,144,,,
"",,"SAINSARAGORAYA",164030421,,0,142,142,,,
"",,"SAINSARAGORAYA",164030431,,0,164,164,,,
"",,,,,0,1179,1179,,,
259,"Government Boys ElementrySchool Sansra Goraya (Male)","SAINSARAGORAYA",164030415,,505,0,505,3,0,3
"SAINSARAGORAYA",164030416,,280,0,280,,,,,
"SAINSARAGORAYA",164030417,,431,0,431,,,,,
"SAINSARAGORAYA",164030418,,134,0,134,,,,,
"SAINSARAGORAYA",164030430,,113,0,113,,,,,
"",,,1463,0,1463,,,,,
"SAINSARAGORAYA",164030415,,0,391,391,,,,,
"SAINSARAGORAYA",164030416,,0,225,225,,,,,
"SAINSARAGORAYA",164030417,,0,328,328,,,,,
"SAINSARAGORAYA",164030418,,0,93,93,,,,,
"SAINSARAGORAYA",164030430,,0,96,96,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,1133,1133,,,
261,"Government Model Primary SchoolKot Hanif (Combined)",KOT HANIF,164030501,,503,339,842,2,1,3
"",,MUSA PUR,164030502,,322,217,539,,,
"",,,,,825,556,1381,,,
262,"Government Boys Primary SchoolLuriki (Combined)",LORIKI,164030503,,329,276,605,1,1,2
"",,LORIKI,164030504,,329,227,556,,,
"",,,,,658,503,1161,,,
263,"Government Al-Karam High SchoolAttawa (Male)",ATTAWA,164030505,,931,0,931,3,0,3
"",,ATTAWA,164030506,,380,0,380,,,
"",,ATTAWA,164030508,,238,0,238,,,
"",,,,,1549,0,1549,,,
264,"Government Al-Karam High SchoolAttawa (Female)",ATTAWA,164030505,,0,689,689,0,3,3
"",,ATTAWA,164030506,,0,265,265,,,
"",,ATTAWA,164030508,,0,196,196,,,
"",,,,,0,1150,1150,,,
265,"Government Girls High SchoolAttawa (Male)",ATTAWA,164030507,,243,0,243,3,0,3
"",,ATTAWA,164030509,,248,0,248,,,
"",,ATTAWA,164030510,,251,0,251,,,
"",,ATTAWA,164030511,,350,0,350,,,
"",,ATTAWA,164030516,,86,0,86,,,
"",,,,,1178,0,1178,,,
266,"Government Girls High SchoolAttawa (Female)",ATTAWA,164030507,,0,165,165,0,2,2
"",,ATTAWA,164030509,,0,150,150,,,
"",,ATTAWA,164030510,,0,207,207,,,
"",,ATTAWA,164030511,,0,284,284,,,
"",,ATTAWA,164030516,,0,72,72,,,
"",,,,,0,878,878,,,
267,"Government  Primary SchoolAttawa (Male)",ATTAWA,164030512,,366,0,366,2,0,2
"",,ATTAWA,164030513,,294,0,294,,,
"",,ATTAWA,164030514,,235,0,235,,,
"",,ATTAWA,164030515,,342,0,342,,,
"",,,,,1237,0,1237,,,
268,"Government  Primary SchoolAttawa (Female)",ATTAWA,164030512,,0,458,458,0,2,2
"",,ATTAWA,164030513,,0,201,201,,,
"",,ATTAWA,164030514,,0,28,28,,,
"",,ATTAWA,164030515,,0,264,264,,,
"",,,,,0,951,951,,,
269,"Government Primary School DatayWali (Combined)",DATEY WALI,164030601,,433,332,765,2,1,3
DATEY WALI,164030603,,456,344,800,,,,,
"",,,889,676,1565,,,,,
"KOTLI DIYANATRAI",164030602,,656,498,1154,,,,,
1,2,3,4,5,6,7,8,9,10,11
271,"Government Boys High SchoolBotala Sharam Singh (Combined)","BOTALASHARAM SINGH",164030701,,576,419,995,2,2,4
"",,"BOTALASHARAM SINGH",164030704,,580,414,994,,,
"",,,,,1156,833,1989,,,
272,"Government Girls High SchoolBotala Sharam Singh (Combined)","BOTALASHARAM SINGH",164030702,,465,324,789,2,2,4
"",,"BOTALASHARAM SINGH",164030703,,694,542,1236,,,
"",,,,,1159,866,2025,,,
273,"Government Boys ElementrySchool Qila Khazana (Combined)",AKBARIAN,164030705,,382,306,688,2,2,4
"",,QILA KHAZANA,164030706,,582,439,1021,,,
"",,,,,964,745,1709,,,
274,"Government Elementry SchoolMachike Goraya (Combined)",Machikey Goraya,164030801,,522,360,882,1,1,2
"",,,,,522,360,882,,,
275,"Government Model Primary SchoolLadhey Wala Goraya (Combined)","Ladhey WalaGoraya",164030802,,896,679,1575,2,2,4
"",,"LADHE WALAGORAYA",164030803,,262,233,495,,,
"",,"LADHE WALAGORAYA",164030804,,159,98,257,,,
"",,,,,1317,1010,2327,,,
276,"Government Girls High SchoolFerozwala (Male)",FEROZ WALA,164030901,,294,0,294,4,0,4
"",,FEROZ WALA,164030902,,912,0,912,,,
"",,FEROZ WALA,164030903,,629,0,629,,,
"",,FEROZ WALA,164030908,,284,0,284,,,
"",,,,,2119,0,2119,,,
277,"Government Girls High SchoolFerozwala (Female)",FEROZ WALA,164030901,,0,270,270,0,3,3
"",,FEROZ WALA,164030902,,0,733,733,,,
"",,FEROZ WALA,164030903,,0,451,451,,,
"",,FEROZ WALA,164030908,,0,161,161,,,
"",,,,,0,1615,1615,,,
278,"Government Jinnah MemorialIslamia High School Ferozwala(Male)",FEROZ WALA,164030904,,427,0,427,4,0,4
"",,FEROZ WALA,164030905,,707,0,707,,,
"",,FEROZ WALA,164030906,,390,0,390,,,
"",,FEROZ WALA,164030909,,473,0,473,,,
"",,,,,1997,0,1997,,,
279,"Government Jinnah MemorialIslamia High School Ferozwala(Female)",FEROZ WALA,164030904,,0,337,337,0,3,3
"",,FEROZ WALA,164030905,,0,528,528,,,
"",,FEROZ WALA,164030906,,0,384,384,,,
"",,FEROZ WALA,164030909,,0,267,267,,,
"",,,,,0,1516,1516,,,
280,"Government Primary School No.1Ferozwala (Combined)",FEROZ WALA,164030907,,673,441,1114,1,1,2
KOT MEHMAD,164030910,,6,3,9,,,,,
"",,,679,444,1123,,,,,
1,2,3,4,5,6,7,8,9,10,11
281,"Government Model Primary SchoolKotli Machrawana (Combined)","THATHARAWAN",164031001,,417,276,693,2,2,4
"",,"KOTLIMACHRANWAN",164031002,,293,220,513,,,
"",,"KOTLIMACHRANWAN",164031003,,462,329,791,,,
"",,,,,1172,825,1997,,,
282,"Government Girls ElementrySchool Kotli Mughlan  (Male)","KOTLIMUGHLAN",164031101,,448,0,448,3,0,3
"",,"KOTLIMUGHLAN",164031102,,617,0,617,,,
"",,"KOTLIMUGHLAN",164031103,,33,0,33,,,
"",,"KOTLIMUGHLAN",164031104,,242,0,242,,,
"",,,,,1340,0,1340,,,
283,"Government Girls ElementrySchool Kotli Mughlan  (Female)","KOTLIMUGHLAN",164031101,,0,348,348,0,3,3
"",,"KOTLIMUGHLAN",164031102,,0,502,502,,,
"",,"KOTLIMUGHLAN",164031103,,0,49,49,,,
"",,"KOTLIMUGHLAN",164031104,,0,164,164,,,
"",,,,,0,1063,1063,,,
284,"Government Girls ElementrySchool Pando Pur (Combined)",Tohar,164031201,,361,256,617,2,1,3
"",,Pando Pur,164031202,,362,243,605,,,
"",,Ghazi Chowk,164031203,,197,116,313,,,
"",,,,,920,615,1535,,,
285,"Government Primary School ChakJoia (Combined)",Chak Joia,164031204,,584,364,948,1,1,2
"",,,,,584,364,948,,,
286,"Sub Division Talwandi Musa KhanWapda Office Jandiala Baghwala(Male)","JandialaBaghwala",164120801,,548,0,548,4,0,4
"JandialaBaghwala",164120802,,646,0,646,,,,,
"JandialaBaghwala",164120803,,791,0,791,,,,,
"JandialaBaghwala",164120812,,193,0,193,,,,,
"JandialaBaghwala",164120813,,690,0,690,,,,,
"",,,2868,0,2868,,,,,
"JandialaBaghwala",164120801,,0,433,433,,,,,
"JandialaBaghwala",164120802,,0,414,414,,,,,
"JandialaBaghwala",164120803,,0,632,632,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"JandialaBaghwala",164120812,,0,181,181,,,
"",,"JandialaBaghwala",164120813,,0,454,454,,,
"",,,,,0,2114,2114,,,
288,"Government Boys High School(Primary Portion) JandialaBaghwala (Male)","JandialaBaghwala",164120804,,446,0,446,3,0,3
"",,"JandialaBaghwala",164120805,,426,0,426,,,
"",,"JandialaBaghwala",164120806,,404,0,404,,,
"",,"JandialaBaghwala",164120817,,218,0,218,,,
"",,,,,1494,0,1494,,,
289,"Government Girls High School(Primary Portion) JandialaBaghwala (Female)","JandialaBaghwala",164120804,,0,274,274,0,2,2
"",,"JandialaBaghwala",164120805,,0,261,261,,,
"",,"JandialaBaghwala",164120806,,0,288,288,,,
"",,"JandialaBaghwala M0hQabiristan wala",164120817,,0,178,178,,,
"",,,,,0,1001,1001,,,
290,"Government Boys High SchoolJandiala Baghwala (North Side)(Male)","JandialaBaghwala",164120807,,457,0,457,3,0,3
"",,"JandialaBaghwala",164120808,,511,0,511,,,
"",,"JandialaBaghwala M0hQabiristan wala",164120816,,425,0,425,,,
"",,"JandialaBaghwala",164120818,,171,0,171,,,
"",,"JandialaBaghwala",164120819,,33,0,33,,,
"",,,,,1597,0,1597,,,
291,"Government Boys High SchoolJandiala Baghwala (South Side)(Female)","JandialaBaghwala",164120807,,0,289,289,0,2,2
"JandialaBaghwala",164120808,,0,300,300,,,,,
"JandialaBaghwala M0hQabiristan wala",164120816,,0,326,326,,,,,
"JandialaBaghwala",164120818,,0,129,129,,,,,
"JandialaBaghwala",164120819,,0,39,39,,,,,
"",,,0,1083,1083,,,,,
"JandialaBaghwala",164120809,,573,425,998,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"JandialaBaghwala",164120810,,407,307,714,,,
"",,,,,980,732,1712,,,
293,"Government Girls High SchoolNew Building Jandiala Baghwala(Combined)","JandialaBaghwala",164120811,,401,251,652,2,1,3
"",,"JandialaBaghwala MohBhopal wala",164120814,,554,382,936,,,
"",,"JandialaBaghwala Mohwaris kot",164120815,,126,87,213,,,
"",,,,,1081,720,1801,,,
294,"Government Boys Primary SchoolSheikh Rajada (Male)",Shiekh Rajada,164140601,,486,0,486,2,0,2
"",,Shiekh Rajada,164140602,,371,0,371,,,
"",,Shiekh Rajada,164140603,,327,0,327,,,
"",,,,,1184,0,1184,,,
295,"Government Girls Primary SchoolSheikh Rajada (Female)",Shiekh Rajada,164140601,,0,381,381,0,2,2
Shiekh Rajada,164140602,,0,263,263,,,,,
Shiekh Rajada,164140603,,0,272,272,,,,,
"",,,0,916,916,,,,,
"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11
1,"Basic Health Unit  Bari ShahRehman (Combined)",Bhiri Kalan,168010101,,430,363,793,2,2,4
"",,Thatha Qutba,168010110,,412,313,725,,,
"",,,,,842,676,1518,,,
2,"Government Boys High SchoolBari Khurd (Male)",Bhiri Kalan,168010102,,368,0,368,3,0,3
"",,Bhiri Kalan,168010103,,352,0,352,,,
"",,Bhiri Khurd,168010104,,440,0,440,,,
"",,Bhiri Khurd,168010105,,386,0,386,,,
"",,Bhiri Khurd,168010111,,245,0,245,,,
"",,,,,1791,0,1791,,,
3,"Government Boys High SchoolBari Khurd (Female)",Bhiri Kalan,168010102,,0,257,257,0,3,3
"",,Bhiri Kalan,168010103,,0,249,249,,,
"",,Bhiri Khurd,168010104,,0,236,236,,,
"",,Bhiri Khurd,168010105,,0,380,380,,,
"",,Bhiri Khurd,168010111,,0,169,169,,,
"",,,,,0,1291,1291,,,
4,"Government Girls Primary SchoolChak Behlool (Combined)",KOT LAJJA RAM,168010106,,137,110,247,2,1,3
"",,CHAK BAHLOL,168010109,,668,421,1089,,,
"",,,,,805,531,1336,,,
5,"Government Boys ElementarySchool Ratta Dhotar (Combined)",RATTA DHUTAR,168010107,,520,433,953,2,2,4
"",,RATTA DHUTAR,168010108,,492,421,913,,,
"",,,,,1012,854,1866,,,
6,"Govt.Boys Primary School PokharPur  (Combined)",QILA BHAYYAN,168010201,,169,101,270,1,1,2
"",,PHOKAR PUR,168010202,,417,256,673,,,
"",,,,,586,357,943,,,
7,"Government Boys Primary SchoolKot Lala (Combined)",KOT LALA,168010203,,547,352,899,1,1,2
"",,,547,352,899,,,,,
"DERA SHAHJAMAL",168010204,,395,0,395,,,,,
"DERA SHAHJAMAL",168010205,,263,0,263,,,,,
"DERA SHAHJAMAL",168010206,,703,0,703,,,,,
"DERA SHAHJAMAL",168010207,,570,0,570,,,,,
"DERA SHAHJAMAL",168010209,,103,0,103,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,2034,0,2034,,,
9,"Government Girls High SchoolDera Shah Jamal  (Female)","DERA SHAHJAMAL",168010204,,0,350,350,0,3,3
"",,"DERA SHAHJAMAL",168010205,,0,179,179,,,
"",,"DERA SHAHJAMAL",168010206,,0,496,496,,,
"",,"DERA SHAHJAMAL",168010207,,0,426,426,,,
"",,"DERA SHAHJAMAL",168010209,,0,17,17,,,
"",,,,,0,1468,1468,,,
10,"Government Boys Primary SchoolQila Majja Singh (Combined)","QILA MAJJASINGH",168010208,,649,506,1155,1,1,2
"",,,,,649,506,1155,,,
11,"Govt.Boys High School Uddowali(Male)",UDHO WALI,168010301,,757,0,757,3,0,3
"",,UDHO WALI,168010302,,272,0,272,,,
"",,UDHO WALI,168010303,,461,0,461,,,
"",,"BAKHSHISHPURA",168010401,,328,0,328,,,
"",,,,,1818,0,1818,,,
12,"Govt.Boys High School Uddowali(Female)",UDHO WALI,168010301,,0,601,601,0,3,3
"",,UDHO WALI,168010302,,0,188,188,,,
"",,UDHO WALI,168010303,,0,359,359,,,
"",,"BAKHSHISHPURA",168010401,,0,224,224,,,
"",,,,,0,1372,1372,,,
13,"Government Girls High SchoolBaddoke Siekhwan (Combined)",BADDOKE,168010304,,507,311,818,2,2,4
"",,BADDOKE,168010305,,402,312,714,,,
"",,BADDOKE,168010306,,183,124,307,,,
"",,,,,1092,747,1839,,,
14,"Government Boys ElementarySchool Hamboke (Male)",HAMBOKE,168010402,,294,0,294,2,0,2
"",,HAMBOKE,168010403,,543,0,543,,,
"",,QILA JAGGO,168010405,,351,0,351,,,
"",,,,,1188,0,1188,,,
15,"Government Boys ElementarySchool Hamboke (Female)",HAMBOKE,168010402,,0,207,207,0,2,2
"",,HAMBOKE,168010403,,0,421,421,,,
"",,QILA JAGGO,168010405,,0,243,243,,,
"",,,,,0,871,871,,,
16,"Govt.Boys Primary SchoolMakhaywala (Combined)",MAKE WALI,168010404,,300,258,558,2,2,4
"BUDHACHANDU",168010407,,352,264,616,,,,,
MAKE WALI,168010408,,422,250,672,,,,,
"",,,1074,772,1846,,,,,
CHAK CHATHA,168010406,,504,344,848,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,848,564,1412,,,
18,"Government Boys ElementarySchool Theri Gillan (Combined)",THERI GILLAN,168010501,,447,306,753,2,2,4
"",,THERI GILLAN,168010502,,541,417,958,,,
"",,THERI GILLAN,168010508,,70,52,122,,,
"",,,,,1058,775,1833,,,
19,"Govt.Girls Primary School Tariwala(Combined)",KOT JIWA,168010503,,328,257,585,2,1,3
"",,"DHAPAIWASAKHSINGH",168010506,,304,218,522,,,
"",,TARI WALA,168010507,,344,241,585,,,
"",,,,,976,716,1692,,,
20,"Govt.Model Primary School BarriWala (Combined)",KOT CHAND,168010504,,252,167,419,2,1,3
"",,BARI WALA,168010505,,742,441,1183,,,
"",,,,,994,608,1602,,,
21,"Government Boys ElementarySchool Noor Pur (Male)",NUR PUR,168010601,,591,0,591,3,0,3
"",,NUR PUR,168010602,,627,0,627,,,
"",,NUR PUR,168010603,,563,0,563,,,
"",,,,,1781,0,1781,,,
22,"Government Girls ElementarySchool Noor Pur (Female)",NUR PUR,168010601,,0,389,389,0,3,3
"",,NUR PUR,168010602,,0,391,391,,,
"",,NUR PUR,168010603,,0,361,361,,,
"",,,,,0,1141,1141,,,
23,"Government Girls High SchoolPhilloki (Male)","MACHARANWALI",168010604,,258,0,258,3,0,3
"",,PHILOKI KALAN,168010606,,138,0,138,,,
"",,PHILOKI KALAN,168010607,,642,0,642,,,
"",,PHILOKI KALAN,168010608,,353,0,353,,,
"",,,,,1391,0,1391,,,
24,"Government Girls High SchoolPhilloki (Female)","MACHARANWALI",168010604,,0,185,185,0,2,2
"",,PHILOKI KALAN,168010606,,0,96,96,,,
"",,PHILOKI KALAN,168010607,,0,480,480,,,
"",,PHILOKI KALAN,168010608,,0,247,247,,,
"",,,,,0,1008,1008,,,
25,"Office of Union Council PhilokeKhurd (Combined)","PHILOKIKHURD",168010605,,285,240,525,1,1,2
"",,"PHILOKIKHURD",168010609,,474,339,813,,,
"",,,,,759,579,1338,,,
26,"Government Boys Middle SchoolNokhar (Male)",NOKHAR,168010701,,647,0,647,3,0,3
NOKHAR,168010702,,1201,0,1201,,,,,
"",,,1848,0,1848,,,,,
NOKHAR,168010701,,0,442,442,,,,,
NOKHAR,168010702,,0,813,813,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,1255,1255,,,
28,"Government Boys Middle SchoolNokhar (Male)",NOKHAR,168010703,,363,0,363,4,0,4
"",,NOKHAR,168010704,,478,0,478,,,
"",,NOKHAR,168010705,,570,0,570,,,
"",,NOKHAR,168010706,,431,0,431,,,
"",,,,,1842,0,1842,,,
29,"Government Boys High SchoolNokhar (Female)",NOKHAR,168010703,,0,276,276,0,3,3
"",,NOKHAR,168010704,,0,320,320,,,
"",,NOKHAR,168010705,,0,414,414,,,
"",,NOKHAR,168010706,,0,323,323,,,
"",,,,,0,1333,1333,,,
30,"Government Girls High SchoolNokhar (Male)",NOKHAR,168010707,,646,0,646,3,0,3
"",,NOKHAR,168010708,,486,0,486,,,
"",,NOKHAR,168010709,,424,0,424,,,
"",,,,,1556,0,1556,,,
31,"Government Girls High SchoolNokhar (Female)",NOKHAR,168010707,,0,421,421,0,2,2
"",,NOKHAR,168010708,,0,357,357,,,
"",,NOKHAR,168010709,,0,276,276,,,
"",,,,,0,1054,1054,,,
32,"Government Boys Primary SchoolKot Nadhan (Combined)",KOT NODHAN,168010801,,603,425,1028,1,1,2
"",,,,,603,425,1028,,,
33,"Govt.Boys Primary SchoolNaukrian (Combined)",NAUKARIAN,168010802,,324,230,554,1,1,2
"",,CHAK UMAR,168010803,,179,129,308,,,
"",,,,,503,359,862,,,
34,"Government Boys Primary SchoolQila Dewan Singh (Male)","QILA DIWANSINGH",168010804,,483,0,483,2,0,2
"",,"QILA DIWANSINGH",168010805,,686,0,686,,,
"",,,,,1169,0,1169,,,
35,"Government Boys Primary SchoolQila Dewan Singh (Female)","QILA DIWANSINGH",168010804,,0,366,366,0,2,2
"",,"QILA DIWANSINGH",168010805,,0,591,591,,,
"",,,,,0,957,957,,,
36,"Govt.Girls Elementary SchoolDhuchha (Combined)","QILA CHANDASINGH",168010901,,91,60,151,1,1,2
"",,DUCHHA,168010902,,628,463,1091,,,
"",,,,,719,523,1242,,,
37,"Govt.Girls Primary School ChakVirkan (Combined)",CHAK VIRKAN,168010903,,685,517,1202,2,2,4
"",,PALANG PUR,168011008,,321,262,583,,,
"",,,,,1006,779,1785,,,
38,"Govt.Boys Primary School Thabal(Combine)",THABAL,168010904,,920,599,1519,2,1,3
"",,,920,599,1519,,,,,
1,2,3,4,5,6,7,8,9,10,11
39,"Govt.Boys High School AulakhBhaike (Male)","AULAKHBHAIKE",168011001,,766,0,766,3,0,3
"",,"AULAKHBHAIKE",168011002,,275,0,275,,,
"",,"AULAKHBHAIKE",168011003,,548,0,548,,,
"",,,,,1589,0,1589,,,
40,"Govt.Boys High School AulakhBhaike (Female)","AULAKHBHAIKE",168011001,,0,563,563,0,2,2
"",,"AULAKHBHAIKE",168011002,,0,186,186,,,
"",,"AULAKHBHAIKE",168011003,,0,325,325,,,
"",,,,,0,1074,1074,,,
41,"Govt.Girls High School AulakhBhaike (Combined)","AULAKHBHAIKE",168011004,,283,231,514,1,1,2
"",,"AULAKHBHAIKE",168011005,,320,229,549,,,
"",,,,,603,460,1063,,,
42,"Govt Girls Primary School KotAbdul Malik (Combined)","KOT ABDULMALIK",168011006,,511,368,879,2,2,4
"",,DHERAM KOT,168011007,,203,119,322,,,
"",,CHAK MARALI,168011009,,4,2,6,,,
"",,TUNGANWALI,168011010,,335,193,528,,,
"",,,,,1053,682,1735,,,
43,"Government Boys High SchoolChabba Sandhwan (Male)","CHABBASANDHWAN",168011101,,899,0,899,3,0,3
"",,"CHABBASANDHWAN",168011102,,228,0,228,,,
"",,"CHABBASANDHWAN",168011103,,583,0,583,,,
"",,GODHA,168011109,,192,0,192,,,
"",,,,,1902,0,1902,,,
44,"Government Boys High SchoolChabba Sandhwan (Female)","CHABBASANDHWAN",168011101,,0,645,645,0,3,3
"",,"CHABBASANDHWAN",168011102,,0,153,153,,,
"",,"CHABBASANDHWAN",168011103,,0,529,529,,,
"",,GODHA,168011109,,0,133,133,,,
"",,,,,0,1460,1460,,,
45,"Government Girls High SchoolChabba Sandhwan (Combined)","CHABBASANDHWAN",168011104,,224,219,443,2,2,4
"CHABBASANDHWAN",168011105,,475,355,830,,,,,
KALSIAN,168011106,,451,347,798,,,,,
"",,,1150,921,2071,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,219,219,,,
47,"Govt.Boys Primary School SooratAbad (Combined)",SURAT ABAD,168011107,,590,421,1011,2,2,4
"",,JHALIAN WALA,168011108,,510,385,895,,,
"",,,,,1100,806,1906,,,
48,"Government Boys ElementarySchool Kot Ladha (Male)",KOT LADHA,168011201,,733,0,733,3,0,3
"",,KOT LADHA,168011202,,759,0,759,,,
"",,KOT LADHA,168011203,,634,0,634,,,
"",,,,,2126,0,2126,,,
49,"Government Girls High School KotLadha (Female)",KOT LADHA,168011201,,0,581,581,0,3,3
"",,KOT LADHA,168011202,,0,533,533,,,
"",,KOT LADHA,168011203,,0,543,543,,,
"",,,,,0,1657,1657,,,
50,"Government Model Primary SchoolRam Garh (Combined)",RAM GAHR,168011204,,208,133,341,1,1,2
"",,RAM GAHR,168011205,,462,298,760,,,
"",,,,,670,431,1101,,,
51,"Government Boys High SchoolJhallan (Male)",JAHLAN,168011301,,614,0,614,3,0,3
"",,JAHLAN,168011302,,446,0,446,,,
"",,JAHLAN,168011303,,648,0,648,,,
"",,,,,1708,0,1708,,,
52,"Government Girls High SchoolJhallan (Female)",JAHLAN,168011301,,0,524,524,0,3,3
"",,JAHLAN,168011302,,0,343,343,,,
"",,JAHLAN,168011303,,0,504,504,,,
"",,,,,0,1371,1371,,,
53,"Government Boys High SchoolJhallan (Male)",JAHLAN,168011304,,656,0,656,3,0,3
"",,JAHLAN,168011305,,424,0,424,,,
"",,JAHLAN,168011306,,198,0,198,,,
"",,JAHLAN,168011307,,255,0,255,,,
"",,THATTA RAJIAN,168011315,,243,0,243,,,
"",,,,,1776,0,1776,,,
54,"Govt.Girls High School Jhallan(Female)",JAHLAN,168011304,,0,503,503,0,2,2
"",,JAHLAN,168011305,,0,331,331,,,
"",,JAHLAN,168011306,,0,174,174,,,
"",,JAHLAN,168011307,,0,201,201,,,
"",,THATTA RAJIAN,168011315,,0,188,188,,,
