ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
92,"Office of Public Health EngineeringDivisional Offices ComplexDGKhan. (Male)",,,Railway Colony,224140101,,332,0,332,2,0,2
"",,,,Indus Colony,224140102,,186,0,186,,,
"",,,,G.P.O. Colony,224140103,,19,0,19,,,
"",,,,"Hospital Colony / CanalColony",224140104,,205,0,205,,,
"",,,,"Basti Sheikhan / FidakColony",224120801,,250,0,250,,,
"",,,,Total,,,992,0,992,,,
93,"Girls High School Railway ColonyDGKhan.( Female )",,,Railway Colony,224140101,,0,196,196,0,2,2
"",,,,Indus Colony,224140102,,0,123,123,,,
"",,,,G.P.O. Colony,224140103,,0,12,12,,,
"",,,,"Hospital Colony / CanalColony",224140104,,0,157,157,,,
"",,,,"Basti Sheikhan / FidakColony",224120801,,0,224,224,,,
"",,,,Total,,,0,712,712,,,
94,"Govt. Boys Post Graduate CollegeDGKhan  (Male)",,,Sports Complex,224140501,,272,0,272,2,0,2
"",,Ruknabad Block No.1/3,224140503,,355,0,355,,,,,
"",,Ruknabad Block No.1/3,224140509,,315,0,315,,,,,
"",,Total,,,942,0,942,,,,,
"",,Ruknabad Block No.2/3,224140504,,298,0,298,,,,,
""
""
"",DGKhan  (Male),,,Ruknabad Block No.3/3,224140505,,436,0,436,2,0,2
"",,,,Ruknabad Block No.3/3,224140511,,444,0,444,,,
"",,,,Total,,,1491,0,1491,,,
96,"Boys Post Graduate CollegeMBA Block DGKhan( Female )",,,Sports Complex,224140501,,0,256,256,0,4,4
"",,,,Ruknabad Block No.1/3,224140503,,0,266,266,,,
"",,,,Ruknabad Block No.1/3,224140509,,0,214,214,,,
"",,,,Ruknabad Block No.2/3,224140504,,0,445,445,,,
"",,,,Ruknabad Block No.2/3,224140510,,0,211,211,,,
"",,,,Ruknabad Block No.3/3,224140505,,0,302,302,,,
"",,,,Ruknabad Block No.3/3,224140511,,0,344,344,,,
"",,,,Total,,,0,2038,2038,,,
97,"Govt Boys Post Graduate CollegeDG Khan   (Male)",,,Qadeer Abad,224140502,,300,0,300,3,0,3
"",,,,Qadeer Abad,224140508,,156,0,156,,,
"",,,,Bodla Colony,224140506,,291,0,291,,,
"",,,,Bodla Colony,224140512,,262,0,262,,,
"",,,,Bodla Colony,224140513,,346,0,346,,,
"",,,,Nasir Abad Colony,224140507,,191,0,191,,,
"",,,,Total,,,1546,0,1546,,,
98,"Govt Boys Post Graduate CollegeUniversity Block,DGKhan( Female )",,,Qadeer Abad,224140502,,0,241,241,0,3,3
"",,,,Qadeer Abad,224140508,,0,154,154,,,
"",,,,Bodla Colony,224140506,,0,243,243,,,
"",,,,Bodla Colony,224140512,,0,292,292,,,
"",,,,Bodla Colony,224140513,,0,250,250,,,
"",,,,Nasir Abad Colony,224140507,,0,168,168,,,
"",,,,Total,,,0,1348,1348,,,
99,"Govt City High SchoolDGKhan  (Male)",,,Fareedabad Colony,224140201,,260,0,260,4,0,4
"",,Leghari Colony,224140202,,749,0,749,,,,,
"",,Fareedabad Colony,224140203,,497,0,497,,,,,
"",,Fareedabad Colony,224140208,,398,0,398,,,,,
"",,Total,,,1904,0,1904,,,,,
"",,Fareedabad Colony,224140201,,0,274,274,,,,,
"",,Leghari Colony,224140202,,0,652,652,,,,,
"",( Female ),,,Fareedabad Colony,224140208,,0,312,312,,,
"",,,,Total,,,0,1698,1698,,,
101,"EDO office Works & ServicesEx-Highway Office DGKhan(Male)",,,"Fareedabad Colony BlockNo.18",224140204,,421,0,421,4,0,4
"",,,,"Fareedabad Colony BlockNo.18",224140209,,618,0,618,,,
"",,,,"Fareedabad Colony BlockNo.18",224140210,,407,0,407,,,
"",,,,"Fareedabad Colony BlockNo.1/3",224140205,,678,0,678,,,
"",,,,Total,,,2124,0,2124,,,
102,"Office of the Building DepartmentFareed Abad  DGKhan( Female )",,,"Fareedabad Colony BlockNo.18",224140204,,0,407,407,0,4,4
"",,,,"Fareedabad Colony BlockNo.18",224140209,,0,393,393,,,
"",,,,"Fareedabad Colony BlockNo.18",224140210,,0,424,424,,,
"",,,,"Fareedabad Colony BlockNo.1/3",224140205,,0,497,497,,,
"",,,,Total,,,0,1721,1721,,,
103,"EDO office Works & Services ExHighway Office  DGKhan  (Male)",,,"Fareedabad Colony BlockNo.2/3",224140206,,275,0,275,4,0,4
"",,"Fareedabad Colony BlockNo.2/3",224140211,,330,0,330,,,,,
"",,"Fareedabad Colony BlockNo.2/3",224140212,,320,0,320,,,,,
"",,"Fareedabad Colony BlockNo.3/3",224140207,,440,0,440,,,,,
"",,"Fareedabad Colony BlockNo.3/3",224140213,,475,0,475,,,,,
"",,Total,,,1840,0,1840,,,,,
"",,"Fareedabad Colony BlockNo.2/3",224140206,,0,233,233,,,,,
"",,"Fareedabad Colony BlockNo.2/3",224140211,,0,245,245,,,,,
"",,"Fareedabad Colony BlockNo.2/3",224140212,,0,316,316,,,,,
"",,"Fareedabad Colony BlockNo.3/3",224140207,,0,392,392,,,,,
"",,,,Total,,,0,1589,1589,,,
105,"Boys Degree (Inter) College KhosaRoad Block No.17  DGKhan (Male)",,,Sikhani Colony,224130902,,753,0,753,4,0,4
"",,,,Muslim Town,224130903,,472,0,472,,,
"",,,,Block No.17,224130905,,684,0,684,,,
"",,,,Total,,,1909,0,1909,,,
106,"Girls High School Khiaban-e-SarwarDGKhan ( Female )",,,Sikhani Colony,224130902,,0,569,569,0,3,3
"",,,,Muslim Town,224130903,,0,397,397,,,
"",,,,Block No.17,224130905,,0,447,447,,,
"",,,,Total,,,0,1413,1413,,,
107,"Boys Degree (Inter) College KhosaRoad Block No.17 DGKhan (Male)",,,Muslim Town,224140301,,409,0,409,2,0,2
"",,,,Muslim Town,224140308,,415,0,415,,,
"",,,,Muslim Town,224140309,,427,0,427,,,
"",,,,Total,,,1251,0,1251,,,
108,"Boys Degree (Inter) College KhosaRoad Block No.17 DGKhan (Female)",,,Muslim Town,224140301,,0,334,334,0,2,2
"",,,,Muslim Town,224140308,,0,333,333,,,
"",,,,Muslim Town,224140309,,0,328,328,,,
"",,,,Total,,,0,995,995,,,
109,"Boys Degree (Inter) College KhosaRoad Block No.17  DGKhan.(Male)",,,Shakir Town / Tahir Town,224140303,,461,0,461,3,0,3
"",,,,Shakir Town,224140304,,313,0,313,,,
"",,,,Shakir Town,224140312,,369,0,369,,,
"",,,,Shakir Town,224140313,,314,0,314,,,
"",,,,Total,,,1457,0,1457,,,
110,"Boys Degree Inter CollegeKhosa Road Block No.17DGKhan Part-IV ( Female )",,,Shakir Town / Tahir Town,224140303,,0,387,387,0,2,2
"",,,,Shakir Town,224140304,,0,257,257,,,
"",,,,Shakir Town,224140312,,0,287,287,,,
"",,,,Shakir Town,224140313,,0,253,253,,,
"",,,,Total,,,0,1184,1184,,,
111,"Fisheries DepartmentKhayaban-e-Sarwar Block ""C""DGKhan (Male)",,,"Kheyaban-e-SarwarBlock ""A""",224140305,,293,0,293,4,0,4
"",,"Kheyaban-e-SarwarBlock ""A""",224140314,,313,0,313,,,,,
"",,"Kheyaban-e-SarwarBlock ""B""",224140306,,755,0,755,,,,,
"",,"Kheyaban-e-SarwarBlock ""C""",224140307,,438,0,438,,,,,
"",,Total,,,1799,0,1799,,,,,
"","MC Fatima Girls Primary SchoolNo.11 Near Shifa Hospital Khayaban-e-Sarwar. DGKhan( Female )",,,"Kheyaban-e-SarwarBlock ""A""",224140314,,0,315,315,0,3,3
"",,,,"Kheyaban-e-SarwarBlock ""B""",224140306,,0,647,647,,,
"",,,,"Kheyaban-e-SarwarBlock ""C""",224140307,,0,420,420,,,
"",,,,Total,,,0,1622,1622,,,
113,"Regional Office AgriculturalDevelopment Bank DGKhan(Male) (Combine)",,,Qaim Wala Wadani,224140302,,225,200,425,2,1,3
"",,,,Qaim Wala Wadani,224140310,,273,199,472,,,
"",,,,Qaim Wala Wadani,224140311,,240,202,442,,,
"",,,,Total,,,738,601,1339,,,
114,"Govt Boys Post Graduate CollegeDGKhan  (Male)",,,Shakoor Abad,224140401,,551,0,551,3,0,3
"",,,,Shakoor Abad,224140405,,336,0,336,,,
"",,,,Shakoor Abad,224140406,,332,0,332,,,
"",,,,Shakoor Abad,224140407,,246,0,246,,,
"",,,,Shakoor Abad,224140408,,0,0,0,,,
"",,,,Total,,,1465,0,1465,,,
115,"Boys Post Graduate CollegeUniversity Block . DGKhan( Female )",,,Shakoor Abad,224140401,,0,502,502,0,2,2
"",,,,Shakoor Abad,224140405,,0,271,271,,,
"",,,,Shakoor Abad,224140406,,0,210,210,,,
"",,,,Shakoor Abad,224140407,,0,157,157,,,
"",,,,Shakoor Abad,224140408,,0,0,0,,,
"",,,,Total,,,0,1140,1140,,,
116,"Govt Boys Post Graduate CollegeDG Khan Part-IV (Combined)",,,Shamsha Abad,224140402,,353,318,671,2,2,4
"",,,,Shamsha Abad,224140409,,344,242,586,,,
"",,,,"Madni Town / Abu BakerTown Multan Road DeraGhazi Khan (Janubi Part)",224140403,,149,120,269,,,
"",,,,Factory Area Pul Dat,224140404,,226,178,404,,,
"",,,,Total,,,1072,858,1930,,,
117,"City Boys Primary School No.11Model Town,DGKhan  (Male)",,,"Model Town  Block ""Y""",224140602,,547,0,547,3,0,3
"",,"Model Town  Block ""Z """,224140603,,369,0,369,,,,,
"",,"Model Town  Block ""Z """,224140606,,360,0,360,,,,,
"",,"Model Town  Block ""X""",224140604,,523,0,523,,,,,
"",,Total,,,1799,0,1799,,,,,
"","Office Physical PlanningModel Twon DGKhan(Female)",,,"Model Town Block ""Z """,224140603,,0,361,361,0,3,3
"",,,,"Model Town Block ""Z """,224140606,,0,341,341,,,
"",,,,"Model Town Block ""X""",224140604,,0,448,448,,,
"",,,,Total,,,0,1631,1631,,,
119,"Girls Middle SchoolGhazi Colony, DGKhan (Male)",,,Ghazi Colony,224140601,,288,0,288,4,0,4
"",,,,Ghazi Colony,224140605,,306,0,306,,,
"",,,,"Allah Abad Colony BlockNo.1/2",224140701,,395,0,395,,,
"",,,,"Allah Abad Colony BlockNo.1/2",224140709,,400,0,400,,,
"",,,,"Allah Abad Colony BlockNo.1/2",224140710,,421,0,421,,,
"",,,,"Allah Abad Colony BlockNo.2/2",224140702,,186,0,186,,,
"",,,,"Allah Abad Colony BlockNo.2/2",224140711,,131,0,131,,,
"",,,,"Allah Abad Colony BlockNo.2/2",224140712,,149,0,149,,,
"",,,,Total,,,2276,0,2276,,,
120,"Office of Urban Union Council No.6Near NADRA office Allah Abad.DGKhan ( Female )",,,Ghazi Colony,224140601,,0,260,260,0,4,4
"",,Ghazi Colony,224140605,,0,269,269,,,,,
"",,"Allah Abad Colony BlockNo.1/2",224140701,,0,335,335,,,,,
"",,"Allah Abad Colony BlockNo.1/2",224140709,,0,321,321,,,,,
"",,"Allah Abad Colony BlockNo.1/2",224140710,,0,326,326,,,,,
"",,"Allah Abad Colony BlockNo.2/2",224140702,,0,116,116,,,,,
"",,"Allah Abad Colony BlockNo.2/2",224140711,,0,141,141,,,,,
"",,"Allah Abad Colony BlockNo.2/2",224140712,,0,114,114,,,,,
"",,Total,,,0,1882,1882,,,,,
"",,"Bhutta Colony  BlockNo.4/6",224140706,,611,0,611,,,,,
"",,"Bhutta Colony BlockNo.5/6",224140707,,317,0,317,,,,,
""
""
""
""
"",Bhutta Colony).(Male),,,"Bhutta Colony BlockNo.6/6",224140708,,431,0,431,,,
"",,,,"Bhutta Colony BlockNo.6/6",224140716,,341,0,341,,,
"",,,,Total,,,2072,0,2072,,,
122,"District Sports Officer,Office Gadai Road, DGKhan( Female )",,,"Bhutta Colony  BlockNo.4/6",224140706,,0,412,412,0,4,4
"",,,,"Bhutta Colony BlockNo.5/6",224140707,,0,516,516,,,
"",,,,"Bhutta Colony BlockNo.5/6",224140715,,0,245,245,,,
"",,,,"Bhutta Colony BlockNo.6/6",224140708,,0,536,536,,,
"",,,,"Bhutta Colony BlockNo.6/6",224140716,,0,276,276,,,
"",,,,Total,,,0,1985,1985,,,
123,"District Sports Officer,Office Gadai Road, DGKhan(Male)",,,"Bhutta Colony BlockNo.1/6",224140703,,195,0,195,3,0,3
"",,,,"Bhutta Colony BlockNo.1/6",224140713,,189,0,189,,,
"",,,,"Bhutta Colony BlockNo.1/6",224140714,,212,0,212,,,
"",,,,"Bhutta Colony BlockNo.2/6",224140704,,558,0,558,,,
"",,,,"Bhutta Colony  BlockNo.3/6",224140705,,360,0,360,,,
"",,,,Total,,,1514,0,1514,,,
124,"Director Colleges  DGKhan.( Female )",,,"Bhutta Colony BlockNo.1/6",224140703,,0,144,144,0,2,2
"",,"Bhutta Colony BlockNo.1/6",224140713,,0,147,147,,,,,
"",,"Bhutta Colony BlockNo.1/6",224140714,,0,161,161,,,,,
"",,"Bhutta Colony BlockNo.2/6",224140704,,0,466,466,,,,,
"",,"Bhutta Colony  BlockNo.3/6",224140705,,0,284,284,,,,,
"",,Total,,,0,1202,1202,,,,,
"",Boys High School Gadai (Male),,,"GADAI GHARBI  BlockNo.4/18",224140802,,0,0,0,3,0,3
"",,,,"GADAI GHARBI  BlockNo.4/18",224140803,,338,0,338,,,
"",,,,"GADAI GHARBI  BlockNo.4/18",224140804,,325,0,325,,,
"",,,,"GADAI GHARBI  BlockNo.5/18",224140805,,377,0,377,,,
"",,,,Total,,,1436,0,1436,,,
126,Boys High School Gadai (Female),,,"GADAI GHARBI  BlockNo.4/18",224140801,,0,264,264,0,2,2
"",,,,"GADAI GHARBI  BlockNo.4/18",224140802,,0,0,0,,,
"",,,,"GADAI GHARBI  BlockNo.4/18",224140803,,0,292,292,,,
"",,,,"GADAI GHARBI  BlockNo.4/18",224140804,,0,276,276,,,
"",,,,"GADAI GHARBI  BlockNo.5/18",224140805,,0,271,271,,,
"",,,,Total,,,0,1103,1103,,,
127,Boys High School Gadai (Combine),,,"GADAI GHARBI  BlockNo.6/18",224140901,,336,236,572,2,1,3
"",,,,"GADAI GHARBI BlockNo.7/18",224140902,,415,289,704,,,
"",,,,Total,,,751,525,2379,,,
128,Girls High School Gadai (Combine),,,"GADAI GHARBI  BlockNo.8/18",224140903,,341,312,653,2,1,3
"",,,,"GADAI GHARBI  BlockNo.8/18",224140904,,390,254,644,,,
"",,,,Total,,,731,566,1297,,,
129,Girls High School Gadai (Combine),,,"GADAI GHARBI  BlockNo.9/18",224140905,,463,406,869,2,2,4
"",,"GADAI GHARBI  BlockNo.9/18",224140908,,481,396,877,,,,,
"",,"GADAI GHARBI  BlockNo.11/18",224140907,,195,131,326,,,,,
"",,Total,,,1139,933,2072,,,,,
"",,"GADAI GHARBI  BlockNo.10/18",224140906,,413,309,722,,,,,
"",,,,Total,,,765,521,1286,,,
131,"Boys High SchoolWalaey Wala (Combine)",,,"GADAI SHAMALI  BlockNo.4/18",224131403,,364,272,636,2,1,3
"",,,,"GADAI SHAMALI  BlockNo.5/18",224141302,,520,383,903,,,
"",,,,"GADAI SHAMALI  BlockNo.5/18",224141303,,,,,,,
"",,,,Total,,,884,655,1539,,,
132,"Boys High  School WalaeyWala  (Combine)",,,"GADAI SHAMALI  BlockNo.6/18",224141301,,519,359,878,2,1,3
"",,,,"GADAI SHAMALI  BlockNo.7/18",224141201,,254,216,470,,,
"",,,,Total,,,773,575,1348,,,
133,"Boys High  School WalaeyWala (Combine)",,,"GADAI SHAMALI  BlockNo.8/18",224141202,,506,355,861,2,2,4
"",,,,"GADAI SHAMALI  BlockNo.9/18",224141203,,436,293,729,,,
"",,,,"GADAI SHAMALI  BlockNo.10/18",224141304,,285,198,483,,,
"",,,,Total,,,1227,846,2073,,,
134,"Boys Primary  School NijabatWala (Male)",,,"GADAI SHAMALI  BlockNo.11/18",224141204,,728,0,728,4,0,4
"",,,,"GADAI SHAMALI  BlockNo.11/18",224141205,,647,0,647,,,
"",,,,"GADAI SHAMALI  BlockNo.12/18",224141206,,303,0,303,,,
"",,,,Total,,,1678,0,1678,,,
135,"Boys Primary  School NijabatWala (Female)",,,"GADAI SHAMALI  BlockNo.11/18",224141204,,0,523,523,0,3,3
"",,"GADAI SHAMALI  BlockNo.11/18",224141205,,0,530,530,,,,,
"",,"GADAI SHAMALI  BlockNo.12/18",224141206,,0,214,214,,,,,
"",,Total,,,0,1267,1267,,,,,
"",,"GADAI SHAMALI  BlockNo.13/18",224141001,,232,102,334,,,,,
"",,"GADAI SHAMALI  BlockNo.13/18",224141003,,229,189,418,,,,,
""
""
"",,,,"GADAI SHAMALI  BlockNo.16/18",224141103,,287,186,473,,,
"",,,,"GADAI SHAMALI  BlockNo.16/18",224141104,,278,245,523,,,
"",,,,Total,,,1032,660,1692,,,
137,"Boys High  School WalaeyWala (Combine)",,,"GADAI SHAMALI  BlockNo.14/18",224141102,,289,225,514,2,1,3
"",,,,"GADAI SHAMALI  BlockNo.15/18",224141002,,188,150,338,,,
"",,,,"GADAI SHAMALI  BlockNo.17/18",224141004,,150,100,250,,,
"",,,,"GADAI SHAMALI  BlockNo.18/18",224141005,,317,193,510,,,
"",,,,Total,,,944,668,1098,,,
138,Boys High School Gadai (Combine),GADAI GHARBI  Block No.1/18,224070201,,,,904,611,1515,2,1,3
"",,Total,,,,,904,611,1515,,,
139,Boys High School Gadai (Combine),GADAI GHARBI  Block No.2/18,224070202,,,,296,206,502,2,1,3
"",,GADAI GHARBI  Block No.3/18,224070203,,,,548,400,948,,,
"",,Total,,,,,844,606,1450,,,
140,Union Council office Gadai.(Combine),GADAI GHARBI  Block No.13/18,224070213,,,,870,569,1439,2,1,3
"",,Total,,,,,870,569,1439,,,
141,"Girls Primary School Khan Wala.(Combine)",GADAI GHARBI  Block No.14/18,224070214,,,,742,592,1334,2,2,4
"",,GADAI GHARBI  Block No.12/18,224070212,,,,284,208,492,,,
"",,Total,,,,,1026,800,1826,,,
142,"Basic Health Unit Gadai Gharbi(Combine)",GADAI GHARBI  Block No.15/18,224070215,,,,1244,945,2189,2,2,4
"",,Total,,,,,1244,945,2189,,,
143,"Boys Primary SchoolMachi Wala  (Combine)",GADAI GHARBI  Block No.16/18,224070216,,,,160,150,310,1,1,2
"",,GADAI GHARBI  Block No.17/18,224070217,,,,461,439,900,,,
"",,GADAI GHARBI  Block No.18/18,224070218,,,,0,0,0,,,
"",,GADAI GHARBI  Block No.18/18,224070220,,,,0,0,0,,,
"",,Total,,,,,621,589,1210,,,
144,"Boys Primary SchoolQaim Shah Wala (Combine)",GADAI SHARQI Block No.1/9,224070301,,,,1451,1032,2483,2,2,4
"",,Total,,,,,1451,1032,2483,,,
145,"Boys Primary School Shah Wala(Darkhawan Wala)  (Combine)",GADAI SHARQI Block No.3/9,224070303,,,,705,601,1306,2,2,4
"",,GADAI SHARQI Block No.2/9,224070302,,,,331,296,627,,,
"",,Total,,,,,1036,897,1933,,,
146,"Boys Primary School Shah Wala(Darkhawan Wala)  (Combine)",GADAI SHARQI Block No.5/9,224070305,,,,364,269,633,1,1,2
GADAI SHARQI Block No.4/9,224070304,,,,304,94,398,,,,,
Total,,,,,668,363,1031,,,,,
GADAI SHARQI Block No.8/9,224070308,,,,427,294,721,,,,,
"",,Total,,,,,783,569,1352,,,
148,"Boys Primary SchoolGul Wala at Basti Sohrani.( Combine)",GADAI SHARQI Block No.6/9,224070306,,,,551,465,1016,1,1,2
"",,Total,,,,,551,465,1016,,,
149,"Boys Middle School Jinnah Colony(Combined)",GADAI SHARQI Block No.7/9,224070307,,,,1592,1255,2847,2,2,4
"",,Total,,,,,1592,1255,2847,,,
150,"Boys Primary School Maggi Wala.(Combine)","KOTLA SHAFI MOHAMMAD BlockNo.1/2",224070403,,,,728,513,1241,2,1,3
"",,Total,,,,,728,513,1241,,,
151,"Boys Primary School Maggi Wala(Combined)","KOTLA SHAFI MOHAMMAD BlockNo.2/2",224070404,,,,512,424,936,1,1,2
"",,"KOTLA SHAFI MOHAMMAD BlockNo.2/2",224070405,,,,446,294,740,,,
"",,Total,,,,,512,424,1676,,,
152,Govt. Fish Form Drahama (Combine),RAKH CHAWNI,224070406,,,,1156,901,2057,2,2,4
"",,Total,,,,,1156,901,2057,,,
153,"Boys Primary SchoolChak Dalail at Mohalay Wala.(Combine)",CHAK DALAIL Block No.1/2,224070401,,,,396,228,624,2,1,3
"",,CHAK DALAIL Block No.2/2,224070402,,,,530,274,804,,,
"",,Total,,,,,926,502,1428,,,
154,"Maktab School Lotfay Wala at ChahSoday Wala Mouza Kotla SikhaniGharbi  (Combine)","KOTLA SIKHANI GHARBI BlockNo.1/8",224070601,,,,110,80,190,1,1,2
"",,"KOTLA SIKHANI GHARBI BlockNo.2/8",224070602,,,,486,391,877,,,
"",,Total,,,,,596,471,1067,,,
155,"Maktab School Lotfay Wala at ChahSoday Wala Mouza Kotla SikhaniGharbi (Combine)","KOTLA SIKHANI GHARBI BlockNo.3/8",224070603,,,,791,538,1329,2,2,4
"",,"KOTLA SIKHANI GHARBI BlockNo.4/8",224070604,,,,502,350,852,,,
"",,Total,,,,,1293,888,2181,,,
156,GMPS Kotla Sikhani (Combine),"KOTTLA SIKHANI GHARBI BlockNo.5/8",224070605,,,,456,292,748,2,2,4
"",,"KOTLA SIKHANI GHARBI BlockNo.6/8",224070606,,,,778,592,1370,,,
"",,Total,,,,,1234,884,2118,,,
157,"Boys Primary School Danday Wala(Combine)","KOTLA SIKHANI GHARBI BlockNo.7/8",224070607,,,,441,351,792,1,1,2
"",,"KOTLA SIKHANI GHARBI BlockNo.8/8",224070608,,,,543,388,931,,,
"",,Total,,,,,984,739,1723,,,
158,"Boys Primary School Sarwar Waliat Basti Ali Muhammad (Combine)",DARAH OPLA Block No.1/7,224070501,,,,496,565,1061,1,1,2
Total,,,,,496,565,1061,,,,,
"",at Basti Ali Muhammad (Combine),Total,,,,,699,556,1255,,,
160,"Boys Primary School Bhatti Wala AtBasti Kharray Wala (Combine)",DARAH OPLA Block No.3/7,224070503,,,,576,382,958,2,2,4
"",,DARAH OPLA Block No.4/7,224070504,,,,739,569,1308,,,
"",,Total,,,,,1315,951,2266,,,
161,"Girls  Primary SchoolBasti Arain.  (Combine)",DARAH OPLA Block No.5/7,224070505,,,,150,104,254,1,1,2
"",,DARAH OPLA Block No.6/7,224070506,,,,378,279,657,,,
"",,Total,,,,,528,383,911,,,
162,"Boys Primary School Basti Arain(Combined)",DARAH OPLA Block No.7/7,224070507,,,,613,487,1100,1,1,2
"",,Total,,,,,613,487,1100,,,
163,"Boys Primary  School Qaim Wala(Combine)",QAIM WALA   BLOCK NO.1/2,224090101,,,,451,415,866,1,1,2
"",,Total,,,,,451,415,866,,,
164,"Girls Middle School Qaim Wala(Combine)",QAIM WALA  BLOCK NO.2/2,224090102,,,,378,314,692,2,1,3
"",,QAIM WALA  BLOCK NO.2/2,224090103,,,,366,366,732,,,
"",,Total,,,,,744,680,1424,,,
165,"Boys Primary  SchoolBasti Khosa. (Combine)",BASTI KHOSA  BLOCK NO.1/7,224090104,,,,238,201,439,2,1,3
"",,BASTI KHOSA  BLOCK NO.2/7,224090105,,,,416,263,679,,,
"",,BASTI KHOSA  BLOCK NO.3/7,224090106,,,,92,84,176,,,
"",,Total,,,,,746,548,1294,,,
166,"Girls Primary SchoolBasti Khosa (Combine)",BASTI KHOSA  BLOCK NO.4/7,224090107,,,,478,321,799,1,1,2
"",,Total,,,,,478,321,799,,,
167,"Girls Primary SchoolBasti Khosa (Combine)",BASTI KHOSA  BLOCK NO.5/7,224090108,,,,566,418,984,2,1,3
"",,BASTI KHOSA  BLOCK NO.6/7,224090109,,,,247,172,419,,,
"",,Total,,,,,813,590,1403,,,
168,"Boys Maktab Primary SchoolBasti Khosa P-I",BASTI KHOSA  BLOCK NO.7/7,224090110,,,,763,566,1329,1,1,2
"",,Total,,,,,763,566,1329,,,
169,"Boys High School Bandwani.(Combine)",MAMOORI   BLOCK NO.1/6,224090201,,,,288,209,497,2,1,3
"",,MAMOORI   BLOCK NO.2/6,224090202,,,,254,167,421,,,
"",,MAMOORI   BLOCK NO.3/6,224090203,,,,354,272,626,,,
"",,Total,,,,,896,648,1544,,,
170,"Boys High School Bandwani.(Combine)",MAMOORI   BLOCK NO.4/6,224090204,,,,586,458,1044,2,2,4
"",,MAMOORI   BLOCK NO.5/6,224090205,,,,624,465,1089,,,
"",,Total,,,,,1210,923,2133,,,
171,"Boys Middle SchoolMemoori (Combine)",MAMOORI  BLOCK NO.6/6,224090206,,,,537,483,1020,2,2,4
"",,MAMOORI  BLOCK NO.6/6,224090207,,,,587,402,989,,,
"",,Total,,,,,1124,885,2009,,,
172,"Boys High School Bandwani.(Combine)",BANDWANI,224090208,,,,912,710,1622,2,1,3
Total,,,,,912,710,1622,,,,,
CHAK JHALARIN  BLOCK NO.1/2,224090209,,,,816,596,1412,,,,,
174,"Girls Primary School Bada Khosa(Combined)",CHAK JHALARIN  BLOCK NO.2/2,224090210,,,,546,357,903,1,1,2
"",,Total,,,,,546,357,903,,,
175,"Boys Primary SchoolPai Ramdani (Combined)",PAI RAMDANI,224090301,,,,369,213,582,1,1,2
"",,Total,,,,,369,213,582,,,
176,"Boys Primary School Chah DadayWala. (Combine)",CHIT SIRKANI   BLOCK NO.1/3,224100101,,,,391,282,673,2,2,4
"",,CHIT SIRKANI  BLOCK NO.3/3,224100103,,,,417,342,759,,,
"",,CHIT SIRKANI  BLOCK NO.2/3,224100105,,,,305,186,491,,,
"",,Total,,,,,1113,810,1923,,,
177,"Boys Primary School Chah DadayWala. (Combine)",CHIT SIRKANI  BLOCK NO.2/3,224100106,,,,322,271,593,1,1,2
"",,RAIL CHOHAN,224100107,,,,31,1,32,,,
"",,RAKH CHOTI DALANA,224100108,,,,30,15,45,,,
"",,Total,,,,,383,287,670,,,
178,"Girls Primary SchoolLutif Abad (Combine)",DAGER CHIT  BLOCK NO.1/2,224100201,,,,84,131,215,2,2,4
"",,CHIT SIRKANI  BLOCK NO.2/3,224100102,,,,315,234,549,,,
"",,CHIT SIRKANI  BLOCK NO.3/3,224100104,,,,830,600,1430,,,
"",,Total,,,,,1229,965,2194,,,
179,"Boys Middle  School Jamna Chandia(Combine)",DAGER CHIT  BLOCK NO.1/2,224100203,,,,191,51,242,2,1,3
"",,DAGER CHIT  BLOCK NO.1/2,224100204,,,,145,98,243,,,
"",,DAGER CHIT  BLOCK NO.1/2,224100205,,,,139,128,267,,,
"",,DAGER CHIT  BLOCK NO.2/2,224100207,,,,552,255,807,,,
"",,CHAK SALAREEN,224100209,,,,194,80,274,,,
"",,Total,,,,,1221,612,1833,,,
180,"Boys Middle  School Jamna Chandia(Combine)",DAGER CHIT  BLOCK NO.2/2,224100202,,,,435,313,748,2,2,4
"",,DAGER CHIT  BLOCK NO.2/2,224100206,,,,411,299,710,,,
"",,DAGER CHIT  BLOCK NO.2/2,224100208,,,,427,322,749,,,
"",,Total,,,,,1273,934,2207,,,
181,"Boys Primary SchoolLurkay Wala. (Combined)",PAIGAH NO.1 BLOCK NO.1/4,224100301,,,,717,475,1192,2,2,4
"",,PAIGAH NO.1 BLOCK NO.1/4,224100305,,,,526,445,971,,,
"",,Total,,,,,1243,920,2163,,,
182,"Girls  Primary SchoolLohar Wala. (Combined)",PAIGAH NO.1 BLOCK NO.1/4,224100306,,,,569,442,1011,2,2,4
