""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,,,Muhallaha Sardar Khan,1.83E+08,,,167,167,,,
"",,,,Gali Sheikhan Wali,1.83E+08,,,267,267,,,
"",,,,,Total,,,1166,1166,,2,2
49,"49-Govt. Degree CollegeBaddomalhi(Combined)",,,Gali Hakeeman Wali,1.83E+08,,218,197,415,,,
"",,,,Govt. Health Center,1.83E+08,,383,284,667,,,
50,"50-Govt. Girls High SchoolBaddomalhi(Combined)",,,"Muhallah Kot DinMuhammad",1.83E+08,,472,380,852,,,
"",,,,Bazar Sarafan,1.83E+08,,366,258,624,,,
"",,,,,Total,,838,638,1476,2,2,4
51,"51-Govt. Girls High SchoolBaddomalhi(Combined)",,,Muhallah Bair Wala,1.83E+08,,313,239,552,,,
"",,,,Feroz Hotal,1.83E+08,,395,293,688,,,
"",,,,,Total,,708,532,1240,2,1,3
52,"52-Govt. Boys E/S ChanddowalKalan(Male)  (P)","Chanddowal-I",183010101,,,,363,,363,,,
"",,"Chanddowal-I",183010104,,,,669,,669,,,
"",,,Total,,,,1032,0,0,2,,2
53,"53-Govt. Boys E/S ChanddowalKalan(Female)  (P)","Chanddowal-I",183010101,,,,,315,315,,,
"",,"Chanddowal-I",183010104,,,,,494,494,,,
"",,,Total,,,,0,809,809,,2,2
54,"54-Govt. Girls H/S ChanddowalKalan(male)  (P)","Chanddowal-II",183010102,,,,517,,517,,,
"",,"Chanddowal-III",183010103,,,,397,,397,,,
"",,Khokhar,183010106,,,,587,,587,,,
"",,"ChakSafdar",183010201,,,,326,,326,,,
"",,,Total,,,,1827,,1827,4,,4
55,"55-Govt. Girls H/S ChanddowalKalan(Female)  (P)","Chanddowal-II",183010102,,,,,385,385,,,
"",,"Chanddowal-III",183010103,,,,,318,318,,,
"",,Khokhar,183010106,,,,,470,470,,,
"",,"ChakSafdar",183010201,,,,,241,241,,,
"",,,Total,,,,,1414,1414,,3,3
56,56-Govt. Boys P/S Raib (Male) (P),Raib,183010105,,,,646,,646,,,
"",,"Dalleypur",183010107,,,,506,,506,,,
"",,,Total,,,,1152,,1152,3,0,3
57,57-Govt. Boys P/S Raib (Female) (P),Raib,183010105,,,,,486,486,,,
"",,"Dalleypur",183010107,,,,,395,395,,,
"",,,Total,,,,,881,881,,2,2
58,"58-Govt. Boys H/S Jassar(Combined)(P)",Jassar-II,183011203,,,,552,434,986,,,
"",,,,,,,,,,,,
"",,,Total,,,,552,434,986,1,1,2
59,59-Govt. Girls H/S Jassar(Male)  (P),Jassar-I,183011202,,,,703,,703,,,
"",,Jassar-III,183011204,,,,841,,841,,,
"",,,Total,,,,1544,,1544,3,,3
60,60-Govt. Girls H/S Jassar(Female)  (P),Jassar-I,183011202,,,,,554,554,,,
"",,Jassar-III,183011204,,,,,721,721,,,
"",,,Total,,,,,1275,1275,,3,3
61,"61-Govt. Girls E/S Dodey Wali(Combined) (P)","DodheyWali",183010301,,,,452,357,809,,,
"",,Kharal,183031203,,,,272,151,423,,,
"",,,Total,,,,724,508,1232,2,1,3
62,"62-Govt. Girls P/S Suttia Bumbia(Combined) (P)","QalandarAbad",183010302,,,,145,87,232,,,
"",,"SuttiaPumbia",183010303,,,,371,319,690,,,
"",,"KassoPakhtaB.C",183010304,,,,0,0,0,,,
"",,Raan,183010305,,,,217,128,345,,,
"",,"CheleWali",183011003,,,,246,211,457,,,
"",,,Total,,,,979,745,1724,2,2,4
63,"63-Govt. Girls P/S Fassipur (Combined)P",Nangli,183010202,,,,167,125,292,,,
"",,Fassi Pur,183010203,,,,234,189,423,,,
"",,Dowaba,183010204,,,,262,196,458,,,
"",,,Total,,,,663,510,1173,1,1,2
64,"64-Govt. Girls P/S Parana Wahla(Combined) (P)",Kake ki,183010401,,,,374,284,658,,,
"",,"Khokharkey B.C",183010403,,,,0,0,0,,,
"",,Sainkey,183010404,,,,0,0,0,,,
"",,"Nangal.BC",183010405,,,,0,0,0,,,
"",,"MeadiNanwan",183010406,,,,125,45,170,,,
"",,"ParanaWahla",183010901,,,,414,375,789,,,
"",,,Total,,,,913,704,1617,2,1,3
65,"65-Govt. Girls P/S Asheer MahaDev(Qayyampur) (Male) (P)","HassanHussain",183010402,,,,132,,132,,,
"",,"SadayMadey",183020601,,,,349,,349,,,
"",,"AsheerMaha Dev",183020602,,,,591,,591,,,
"",,Munddi,183020603,,,,130,,130,,,
"",,Pindori,183020604,,,,194,,194,,,
66,"66-Govt. Girls P/S Asheer Maha Dev(Female) (P)","HassanHussain",183010402,,,,,128,128,,,
"",,"SadayMadey",183020601,,,,,273,273,,,
"",,"AsheerMaha Dev",183020602,,,,,480,480,,,
"",,Munddi,183020603,,,,,102,102,,,
"",,Pindori,183020604,,,,,136,136,,,
"",,,Total,,,,0,1119,1119,,2,2
67,"67-Govt. GCMS  Kalas Padda(Combined) (P)","KalasPadda",183010501,,,,462,390,852,,,
"",,"KakkaPadda",183010503,,,,514,387,901,,,
"",,,Total,,,,976,777,1753,2,2,4
68,"68-Govt. Girls P/S Muslimanian(Combined) (P)","Muslimanian",183010502,,,,449,376,825,,,
"",,"KalooPadda",183011201,,,,386,314,700,,,
"",,,Total,,,,835,690,1525,2,2,4
69,"69-Govt. Girls Elementary SchoolBehbalwali (Combined)","Behbalwali",183010504,,,,439,333,772,,,
"",,,Total,,,,439,333,772,1,1,2
70,"70-Govt. Boys P/S Kotli Bajwa(Combined) (P)","KotliBajwa",183010601,,,,398,300,698,,,
"",,"Bharrowal B.C",183010602,,,,4,9,13,,,
"",,Takkia,183010603,,,,269,209,478,,,
"",,"ChakSaranB.C",183010604,,,,0,0,0,,,
"",,Gias Pur,183010605,,,,0,0,0,,,
"",,,Total,,,,671,518,1189,1,1,2
71,"71-Govt.Boys E/S Aima Qazian (Male)(P)",Baaqir,183010701,,,,517,,517,,,
"",,Ghiaspur,183010702,,,,453,,453,,,
"",,Jatteypur,183010703,,,,368,,368,,,
"",,"AimaQazian",183020703,,,,257,,257,,,
"",,,Total,,,,1595,,1595,3,,3
72,"72-Govt.Boys E/S Aima Qazian(Female) (P)",Baaqir,183010701,,,,,413,413,,,
"",,Ghiaspur,183010702,,,,,319,319,,,
"",,Jatteypur,183010703,,,,,306,306,,,
"",,,Total,,,,,1256,1256,,2,2
73,"73-Govt. Girls Elementary SchoolTalwandi Kahlwan(Combined)","TalwanddiKahlwan",183010704,,,,893,690,1583,,,
"",,,Total,,,,893,690,1583,2,2,4
74,"74-Govt. Girls Primary School BasikeyKalan(Combined)","BasikeyKalan",183010801,,,,340,183,523,,,
"",,"Chandianwala",183010802,,,,194,127,321,,,
"",,"ChakBthandda",183010803,,,,71,49,120,,,
"",,,Total,,,,605,359,964,1,1,2
75,"75-Govt. Boys E/S Mohar Sharif (Male)(P)","MoharSharif",183010804,,,,613,,613,,,
"",,"MoharSharif",183010805,,,,353,,353,,,
"",,"MoharSharif",183010806,,,,280,,280,,,
"",,"LaleywaliB.C",183010807,,,,8,,8,,,
"",,,Total,,,,1254,0,1254,3,,3
76,"76-Govt. Girls E/S Mohar Sharif(Female)  (P)","MoharSharif",183010804,,,,,489,489,,,
"",,"MoharSharif",183010805,,,,,210,210,,,
"",,"MoharSharif",183010806,,,,,198,198,,,
"",,"LaleywaliB.C",183010807,,,,,6,6,,,
"",,,Total,,,,,903,903,,2,2
77,"77-Govt. Girls P/S Ali Abad (Combined)(P)",Ali Abad-I,183010902,,,,570,406,976,,,
"",,"Ali Abad-III",183010904,,,,265,193,415,,,
"",,,Total,,,,835,599,1434,2,1,3
78,78-Govt. Boys P/S Ali Abad-(Male)  (P),"Ali Abad-II",183010903,,,,817,,817,,,
"",,"Ali Abad-II",183010905,,,,294,,294,,,
"",,,Total,,,,1111,0,1111,3,,3
79,"79-Govt. Boys P/S Ali Abad-(Female)(P)","Ali Abad-II",183010903,,,,,695,695,,,
"",,"Ali Abad-II",183010905,,,,,201,201,,,
"",,,Total,,,,0,896,896,,2,2
"",,,,,,,,,,,,
"",,,Total,,,,685,533,1218,1,1,2
81,"81-Govt. Boys H/S Ransinwal(Combined) (P)","Ransinwal-II",183011002,,,,679,599,1278,,,
"",,,,,,,,,,,,
"",,,Total,,,,679,599,1278,2,1,3
82,"82-Govt. Girls P/S Saran (Combined)(P)",Sagal,183020803,,,,278,194,472,,,
"",,Cheeney,183020804,,,,234,136,370,,,
"",,Saran,183020805,,,,382,276,658,,,
"",,,Total,,,,894,606,1500,2,1,3
83,83-Govt. GPS Mahinanwala (Combined),"Mahinanwala",183011101,,,,665,513,1178,,,
"",,,Total,,,,665,513,1178,2,1,3
84,"84-Govt. Girls E/S Kotli Bajwa Plot(Male) (P)",Kotli Plot,183011102,,,,963,,963,,,
"",,Kotli Plot,183011103,,,,556,,556,,,
"",,,Total,,,,1519,0,1519,3,,3
85,"85-Govt. Girls E/S Kotli Bajwa Plot(Female) (P)",Kotli Plot,183011102,,,,,766,766,,,
"",,Kotli Plot,183011103,,,,,495,495,,,
"",,,Total,,,,0,1261,1261,,3,3
86,86-Govt. H/S Malokey (Male)  (P),"Malokey -I",183020101,,,,166,,166,,,
"",,"Malokey -II",183020102,,,,841,,841,,,
"",,"Malokey -III",183020103,,,,514,,514,,,
"",,Pindori,183020107,,,,305,,305,,,
"",,,Total,,,,1826,,1826,4,,4
87,87-Govt. H/S Malokey (Female)  (P),"Malokey -I",183020101,,,,,124,124,,,
"",,"Malokey -II",183020102,,,,,628,628,,,
"",,"Malokey -III",183020103,,,,,377,377,,,
"",,Pindori,183020107,,,,,216,216,,,
"",,,Total,,,,,1345,1345,,3,3
88,"88-Govt. Girls  P/S Bhala PindKhoonian (Combined) (P)","ChakMughal",183020104,,,,121,87,208,,,
"",,"ChakPadda",183020105,,,,269,190,459,,,
"",,"KalooDev.",183020108,,,,16,16,32,,,
"",,,Total,,,,783,573,1356,2,1,3
89,89-Govt. Girls P/S Mega (Combined) (P),Rana,183020201,,,,463,341,804,,,
"",,"ChakSaharanB.C",183020403,,,,0,0,0,,,
"",,Mega,183020406,,,,261,201,462,,,
"",,,Total,,,,724,542,1266,2,1,3
90,"90-Govt. H/SS Maddo Kahlwan(Combined) (P)",Kalair,183020202,,,,165,103,268,,,
"",,"MaddoKahlwan",183020204,,,,591,473,1064,,,
"",,,Total,,,,756,576,1332,2,1,3
91,"91-Govt. Girls P/S Dhalah (Combined)(P)",Dhalah,183020203,,,,491,422,913,,,
"",,,Total,,,,491,422,913,1,1,2
92,"92-Govt. Girls P/S Kandhala(Combined) (P)",Kandhala,183020305,,,,526,413,939,,,
"",,,,,,,,,,,,
"",,,Total,,,,526,413,939,1,1,2
93,"93-Govt. Girls P/S Jasspal (Combined)(P)",Jasspal,183020205,,,,552,383,935,,,
"",,,,,,,,,,,,
"",,,Total,,,,552,383,935,1,1,2
94,"94-Govt. Girls P/SNawadey (Combined)(P)","BhekhiKey",183020301,,,,329,258,587,,,
"",,Nawadey,183020302,,,,194,158,352,,,
"",,Barwali,183020303,,,,184,132,316,,,
"",,"HathWaddian",183020304,,,,208,128,336,,,
"",,,Total,,,,915,676,1591,2,2,4
95,"95-Govt. Girls  P/SLaddeywala(Combined) (P)","Shamsher Pur",183020405,,,,353,321,674,,,
"",,"Laddewala",183020401,,,,650,480,1130,,,
"",,,Total,,,,1003,801,1804,2,2,4
96,"96-Govt. Boys H/S Saharan (Combined)(P)",Saharan,183020404,,,,673,561,1234,,,
"",,"KalaQadir.",183020402,,,,253,196,449,,,
"",,,Total,,,,926,757,1683,2,2,4
"",,"ChandarkeyRajputan-III",183020503,,,,684,,684,,,
"",,"ChandarkeyRajputan-IV",183020504,,,,74,,74,,,
"",,Budhan,183020507,,,,94,,94,,,
"",,,Total,,,,1199,0,1199,2,,2
98,"98-Govt. Girls H/S ChandarkeyRajputan(Female)  (P)","ChandarkeyRajputan-I",183020501,,,,,289,289,,,
"",,"ChandarkeyRajputan-III",183020503,,,,,577,577,,,
"",,"ChandarkeyRajputan-IV",183020504,,,,,71,71,,,
"",,Budhan,183020507,,,,,63,63,,,
"",,,Total,,,,,1000,1000,,2,2
99,"99-Govt. Boys H/S ChandarkeyRajputan (Combined)  (P)","ChandarkeyRajputan-II",183020502,,,,948,827,1775,,,
"",,,Total,,,,948,827,1775,2,2,4
100,"100-Govt. Girls E/S Solehrian(Combined) (P)","KotliSindwan",183020505,,,,273,178,451,,,
"",,Solehrian,183020506,,,,416,323,739,,,
"",,Haraiy,183020508,,,,305,215,520,,,
"",,,Total,,,,994,716,1710,2,1,3
101,"101-Govt. Girls P/S Dhunni Dev(Combined) (P)","DhunniDev-I",183020701,,,,360,301,661,,,
"",,"DhunniDev-II",183020702,,,,485,401,886,,,
"",,,Total,,,,845,702,1547,2,1,3
102,"102-Govt. Girls  P/S Than Waddey(Combined) (P)","ThannWaddey",183020704,,,,287,239,526,,,
"",,Tajpura,183020705,,,,350,256,606,,,
"",,"Mehmowal",183020706,,,,315,279,594,,,
"",,,Total,,,,952,774,1726,2,2,4
"",,"Dhadiyala",183020802,,,,334,230,564,,,
"",,,Total,,,,939,666,1605,2,2,4
104,"104-Govt.Boys H/S Bola bajwa (Male)(P)","BolaBajwa-I",183020806,,,,714,,714,,,
"",,"BolaBajwa-II",183020807,,,,506,,506,,,
"",,,Total,,,,1220,,1220,2,,2
105,"105-Govt.Boys H/S Bola Bajwa(Female)(P)","BolaBajwa-I",183020806,,,,,537,537,,,
"",,"BolaBajwa-II",183020807,,,,,374,374,,,
"",,,Total,,,,,911,911,,2,2
"",,,,,,,,,,,,
106,106-Govt. Boys E/S Ghaziwal(Male)  (P),"GhaziwalII",183020904,,,,437,,437,,,
"",,"GhaziwalIv",183020905,,,,637,,637,,,
"",,Jamman,183020906,,,,308,,308,,,
"",,,Total,,,,1382,,1382,4,,4
107,"107-Govt. Boys E/S Ghaziwal(Female)(P)","GhaziwalII",183020904,,,,,345,345,,,
"",,"GhaziwalIv",183020905,,,,,437,437,,,
"",,Jamman,183020906,,,,,219,219,,,
"",,,Total,,,,,1001,1001,,2,2
"",,,,,,,,,,,,
108,"108-Govt. Boys E/SGhaziwal(Combined)  (P)","GhaziwalI",183020901,,,,464,369,833,,,
"",,"GhaziwalI",183020903,,,,428,307,735,,,
"",,,Total,,,,892,676,1568,2,2,4
109,"109-Govt. Boys P/S Jajanwala(Combined) (P)","Jajanwala",183020909,,,,841,578,1419,,,
"",,,,,,,,,,,,
"",,,Total,,,,841,578,1419,2,1,3
110,"110-Govt. Girls P/S Nangal Jamshaid(Combined) (P)","NangalJamshaid",183020907,,,,553,462,1015,,,
"",,"KotliBootaSing",183020908,,,,241,175,416,,,
"",,,Total,,,,794,637,1431,2,1,3
111,"111-Govt. Girls H/S Thilley Kalan(Combined) (P)","ThilleyKhurd",183021001,,,,506,334,840,,,
"",,"ThilleyKalan",183021102,,,,481,415,896,,,
112,"112-Govt. Girls P/S Osahan (Combined)P",osahan,183021003,,,,440,350,790,,,
"",,Khoosar,183021002,,,,249,174,423,,,
"",,,Total,,,,689,524,1213,1,1,2
113,"113-Govt. Girls E/S Mayyo Data(Combined) (P)","MaioData",183021101,,,,782,625,1407,,,
"",,,,,,,,,,,,
"",,,Total,,,,782,625,1407,2,1,3
114,"114-Govt. Boys H/S Gota Fateh Garh(Combined)  (P)","GotaFatehgarh",183030101,,,,948,710,1658,,,
"",,,,,,,,,,,,
"",,,Total,,,,948,710,1658,2,1,3
"",,,,,,,,,,,,
115,"115-Govt. Girls H/S Gota FatehGarh(Male)  (P)","GotaFatehgarh",183030102,,,,628,,628,,,
"",,Poong,183030105,,,,719,,719,,,
"",,,Total,,,,1347,,1347,3,,3
116,"116-Govt. Girls H/S Gota FatehGarh(Female)  (P)","GotaFatehgarh",183030102,,,,,551,551,,,
"",,Poong,183030105,,,,,500,500,,,
"",,,Total,,,,,1051,1051,,2,2
117,"117-Govt. Girls E/S Saraj (Combined)(P)",Saraj,183030103,,,,140,96,236,,,
"",,Saraj,183030104,,,,929,655,1584,,,
"",,,Total,,,,1069,751,1820,2,1,3
118,"118-Govt. Boys Primary SchoolDahab(Combined)",Dahab,183030201,,,,437,300,737,,,
"",,,Total,,,,437,300,737,1,1,2
119,"119-Govt. Girls E/S Mangian(Combined) (P)",Mangian,183030202,,,,875,691,1566,,,
"",,,Total,,,,875,691,1566,2,2,4
120,120-Govt. H/S Manak (Male)  (P),Mank -I,183030203,,,,713,,713,,,
"",,Mank-II,183030204,,,,833,,833,,,
"",,Mank-III,183030205,,,,345,,345,,,
"",,,Total,,,,1891,,1891,4,,4
121,121-Govt. Girls H/S Manak (Female)  (P),Mank -I,183030203,,,,,612,612,,,
"",,Mank-II,183030204,,,,,700,700,,,
"",,Mank-III,183030205,,,,,284,284,,,
"",,,Total,,,,,1596,1596,,3,3
122,"122-Govt. Boys P/S Maojokey Dharap(Combined) (P)","MojokeyDharap",183030301,,,,641,469,1110,,,
"",,,,,,,,,,,,
123,"123-Govt. Girls P/S Maojokey Dharap(Combined) (P)","MojokeyDharap",183030302,,,,435,291,726,,,
"",,"NangliBajwa",183030308,,,,173,140,313,,,
"",,,Total,,,,608,431,1039,1,1,2
124,"124-Govt. Girls P/S Balekey Khurd(Combined) (P)","ChakNangliB.C",183030303,,,,3,1,4,,,
"",,Lorai,183030304,,,,335,217,552,,,
"",,"BalekeKhurd",183030305,,,,125,96,221,,,
"",,"BudhahNawan",183030306,,,,122,87,209,,,
"",,"BasikeKhurd",183030307,,,,450,373,823,,,
"",,,Total,,,,1035,774,1809,2,2,4
125,"125-Govt. Boys P/S Mall Bajwa(Combined) (P)","Khanowal",183030401,,,,504,409,913,,,
"",,"MallBajwa",183030406,,,,580,463,1043,,,
"",,,Total,,,,1084,872,1956,2,2,4
126,"126-Govt. Boys P/S Kot Lakha Sing(Combined) (P)","KotLakhaSing",183030402,,,,863,660,1314,,,
"",,"LaddarB.C",183030404,,,,107,66,173,,,
"",,,Total,,,,970,726,1487,2,2,4
127,127-Govt. H/S Pakhokey (Combined) (P),"JattriJhandda",183030403,,,,105,67,172,,,
"",,"KotliVariyamSing",183030405,,,,210,142,352,,,
"",,Pakhokey,183030407,,,,112,81,193,,,
"",,,Total,,,,427,290,717,1,1,2
128,128-Govt. H/S Pakhokey (Combined) (P),Pakhokey,183030408,,,,702,556,1258,,,
"",,,,,,,,,,,,
"",,,Total,,,,702,556,1258,2,1,3
"",,"Bakheypur",183030501,,,,121,77,198,,,
129,"129-Gvot. Girls P/S Kot Arrian (DeroMangra)(Combined) (P)",Sadhwan,183030502,,,,223,163,386,,,
"",,Saraj pur,183030503,,,,225,122,347,,,
"",,Araian,183030504,,,,230,205,435,,,
"",,Autar,183030505,,,,28,29,57,,,
"",,,Total,,,,871,635,1506,2,1,3
"",,"Malowala",183030601,,,,290,221,511,,,
130,"130-Govt. Grils P/S Saidokey(Combined) (P)",Maigowal,183030602,,,,207,147,354,,,
"",,"Talwanddi Bajwa",183030606,,,,191,170,361,,,
"",,,Total,,,,688,538,1226,2,1,3
"",,"VirakWeeran",183030603,,,,36,15,51,,,
131,"131-Govt. Boys E/S Saidokey(Combined) (P)",Saidokey,183030604,,,,293,219,512,,,
"",,Saidokey,183030605,,,,345,251,596,,,
"",,,Total,,,,674,485,1159,1,1,2
"",,Dheirh,183030701,,,,221,193,414,,,
132,"132-Govt. Girls P/S Sadokey(Combined) (P)",Virak,183030702,,,,315,262,577,,,
"",,Sadokey,183030804,,,,474,405,879,,,
"",,,Total,,,,1010,860,1870,2,2,4
133,133-Govt.Girls H/S Doungian(Male)  (P),"DoungianI",183030703,,,,464,,464,,,
"",,"DoungianII",183030704,,,,981,,981,,,
"",,,Total,,,,1445,,1445,3,,3
134,"134-Govt.Girls H/S Doungian (Female)(P)","DoungianI",183030703,,,,,314,314,,,
"",,"DoungianII",183030704,,,,,749,749,,,
"",,,Total,,,,,1063,1063,,2,2
135,"135-Govt. Girls E/S Chahar Bhatti(Combined) (P)","BudhuKot",183030801,,,,239,181,420,,,
"",,"ChaharBhatti",183030802,,,,352,509,333,,,
"",,Awan,183030803,,,,237,153,390,,,
"",,,Total,,,,828,843,1671,2,1,3
136,"136-Govt. Boys H/S Khan Khasa (Male)(P)",Khan,183030901,,,,709,,709,,,
"",,Khan,183030902,,,,182,,182,,,
"",,Khasa,183030903,,,,374,,374,,,
"",,Khasa,183030904,,,,87,,87,,,
"",,Lallar,183030906,,,,33,,33,,,
"",,,Total,,,,1385,,1385,3,,3
137,"137-Govt. Boys H/S Khan Khasa(Female) (P)",Khan,183030901,,,,,510,510,,,
"",,Khan,183030902,,,,,107,107,,,
"",,Khasa,183030903,,,,,265,265,,,
"",,Khasa,183030904,,,,,89,89,,,
"",,Lallar,183030906,,,,,20,20,,,
"",,,Total,,,,,991,991,,2,2
138,"138-Govt. Boys P/S  Targa (Combined)P",Targa,183030905,,,,374,248,622,,,
"",,Dholah,183030907,,,,479,347,826,,,
"",,,Total,,,,853,595,1448,2,1,3
139,"139-Govt. Girls Primary SchoolSaddowala Newan (OLD)","SaddowalaNeewan",183031004,,,,452,339,791,,,
"",,,,,,,,,,,,
"",,,Total,,,,452,339,791,1,1,2
140,"140-Govt. Boys H/S SaddowalaUnchah(Male)  (P)","Saddowala Uncha",183031001,,,,402,,402,,,
"",,"Saddowala Uncha",183031002,,,,517,,517,,,
"",,"Saddowala Uncha",183031003,,,,456,,456,,,
"",,Sagarpur,183031005,,,,343,,343,,,
"",,Toteywali,183031006,,,,329,,329,,,
"",,Maan,183031007,,,,124,,124,,,
"",,,Total,,,,2171,,2171,4,,4
141,"141-Govt. Boys H/S SaddowalaUnchah(FeMale)  (P)","Saddowala Uncha",183031001,,,,,378,378,,,
"",,"Saddowala Uncha",183031002,,,,,415,415,,,
"",,"Saddowala Uncha",183031003,,,,,307,307,,,
"",,Sagarpur,183031005,,,,,280,280,,,
"",,Toteywali,183031006,,,,,239,239,,,
"",,Maan,183031007,,,,,82,82,,,
"",,,Total,,,,,1701,1701,,4,4
142,"142-Govt. Boys E/S Dhabliwala (Male)(P)","Dhabliwala-1",183031101,,,,886,,886,,,
"",,"Dhabliwala-2",183031102,,,,464,,464,,,
"",,"Chachowali",183031103,,,,297,,297,,,
"",,,Total,,,,1647,0,1647,4,,4
143,"143-Govt. Girls H/S Dhabliwala(Female)  (P)","Dhabliwala-1",183031101,,,,,718,718,,,
"",,"Dhabliwala-2",183031102,,,,,400,400,,,
"",,"Chachowali",183031103,,,,,233,233,,,
"",,,Total,,,,,1351,1351,,3,3
144,"144-Govt. Girls P/S Sadiq Abad(Combined) (P)","SadiqAbad",183031104,,,,712,504,1216,,,
"",,"Jalil purB.C.",183031105,,,,0,0,0,,,
"",,Rattian,183031106,,,,542,371,913,,,
"",,,Total,,,,1254,875,2129,2,2,4
145,"145-Govt. Elementary School KalasGoraya (Combined) (P)","KalasGoraya",183031201,,,,545,478,1023,,,
"",,"DogarHinddo",183031205,,,,88,65,153,,,
"",,,Total,,,,633,543,1176,1,1,2
146,"146-Govt. Girls Primary School Dulam(Combined)",Dulam,183031202,,,,244,174,418,,,
"",,"DogarMuslimanian",183031204,,,,349,231,580,,,
"",,"KotSlaekhan",183031206,,,,111,84,195,,,
"",,,Total,,,,704,489,1193,1,1,2
147,"147-Govt. Girls P/S Balian (Combined)(P)",Dhaddian,183031302,,,,166,115,281,,,
"",,Balian,183031303,,,,622,447,1069,,,
"",,,Total,,,,788,562,1350,2,1,3
148,"148-Govt. Girls P/S Borewali(Combined) (P)",Borewali,183031403,,,,604,443,1047,,,
"",,"ChakDobani.",183031401,,,,151,97,248,,,
"",,,Total,,,,755,540,1295,2,1,3
149,"149-Govt. Girls P/S Manddranwala(Combined) (P)","Dharhiwal",183031301,,,,320,206,526,,,
"",,"Manddranwala",183031402,,,,388,330,718,,,
"",,,Total,,,,708,536,1244,1,1,2
150,"150-Govt. H/S Aorang Abad (Combined)(P)",Jajuwala,183031501,,,,290,237,527,,,
"",,"AorangAbad",183031502,,,,429,326,755,,,
"",,,Total,,,,719,563,1282,2,1,3
"",,Pajowali,183031504,,,,416,,416,,,
"",,,Total,,,,1265,,1265,3,0,3
152,"152-Govt. Girls H/S Pajowali (Female)(P)",Pajowali,183031503,,,,,689,689,,,
"",,Pajowali,183031504,,,,,338,338,,,
"",,,Total,,,,,1027,1027,,2,2
153,153-Govt. H/S Arud Afghanan (Male) (P),"ArudAfghanan",183031505,,,,747,,747,,,
"",,"ArudAfghanan",183031507,,,,256,,256,,,
"",,"ArudAfghanan",183031506,,,,345,,345,,,
"",,,Total,,,,1348,,1348,3,,3
154,"154-Govt. H/S Arud Afghanan (Female)(P)","ArudAfghanan",183031505,,,,,573,573,,,
"",,"ArudAfghanan",183031507,,,,,205,205,,,
"",,"ArudAfghanan",183031506,,,,,254,254,,,
"",,,Total,,,,,1032,1032,,2,2
155,"155-Govt. Girls P/S Nangal Wahla(Combined) (P)","KotliHassanShah",183031601,,,,15,16,31,,,
"",,"Ranidheer",183031602,,,,161,132,293,,,
"",,"FairozkeyBeet B.C",183031603,,,,0,0,0,,,
"",,"MaojokeyBeet B.C",183031604,,,,0,0,0,,,
"",,"NangalWahlah",183031701,,,,265,199,464,,,
"",,"VirokeBeet",183031702,,,,74,42,116,,,
"",,Sandrana,183031703,,,,95,77,172,,,
"",,"AimaSheikhenB.C",183031705,,,,1,0,1,,,
"",,"Sangrah.B.C",1 83031706,,,,0,0,0,,,
"",,,Total,,,,651,495,1146,1,1,2
156,"156-Govt. Girls Model E/S Daud(Combined) (P)",Daud,183031801,,,,209,159,368,,,
"",,Daud,183031802,,,,574,454,1028,,,
"",,"AraziMubarakpur B.C",183031803,,,,0,0,0,,,
"",,Mach,183060607,,,,185,122,307,,,
"",,,Total,,,,968,735,1703,2,2,3
157,"157-Govt.Boys Elementary School  GillKalan.(Combined) (P)",Gujr Wali,183040101,,,,222,155,377,,,
"",,Tatkey,183040102,,,,65,39,104,,,
"",,"SahdanWali",183040103,,,,106,92,198,,,
"",,Total:-,,,,,393,286,679,1,1,2
158,"158-Govt.Girls Pramiry School  GillKalan.(Combined) (P)",Gill Kalan,183040104,,,,674,521,1195,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,674,521,1195,2,1,3
159,"159-Govt. Boys Elementry SchoolBahlol Pur. (Combined) (P)",Maan,183040201,,,,270,186,456,,,
"",,"BahlolPur",183040204,,,,234,180,414,,,
"",,Total:-,,,,,504,366,870,1,1,2
160,"160-Govt. Boys Elementry SchoolBahlol Pur. (Combined) (P)","KhemoWali",183040301,,,,531,396,927,,,
"",,Badhaui,183040302,,,,0,2,2,,,
"",,Ballo,183040303,,,,0,1,1,,,
"",,Total:-,,,,,531,399,930,1,1,2
161,"161-Govt.Girls P/S Bhojo Dheendsa.(Combined) (P)","BhojoDheendsa",183040401,,,,603,449,1052,,,
"",,Jonekey,183040901,,,,115,83,198,,,
"",,"BallakiPur(B.C)",183040905,,,,0,0,0,,,
"",,Total:-,,,,,718,532,1250,2,1,3
162,"162-Govt.Girls P/S Dhing. (Combined)(P)","SahoBhallo",183040402,,,,156,92,248,,,
"",,"RamDheendsa",183040403,,,,187,131,318,,,
"",,Dhing,183040903,,,,445,281,726,,,
163,163-Govt. Girls P/S  Ghass (Combined),"NaroRayya",183040404,,,,95,60,155,,,
"",,Ghass.,183040806,,,,290,177,467,,,
